"KEGG","OTHERID"
"mmu:100009600","100009600"
"mmu:100009609","100009609"
"mmu:100009614","100009614"
"mmu:100012","100012"
"mmu:100017","100017"
"mmu:100019","100019"
"mmu:100033459","100033459"
"mmu:100034251","100034251"
"mmu:100034361","100034361"
"mmu:100034363","100034363"
"mmu:100034684","100034684"
"mmu:100034729","100034729"
"mmu:100034748","100034748"
"mmu:100036518","100036518"
"mmu:100036521","100036521"
"mmu:100036568","100036568"
"mmu:100037258","100037258"
"mmu:100037278","100037278"
"mmu:100037282","100037282"
"mmu:100037283","100037283"
"mmu:100038347","100038347"
"mmu:100038417","100038417"
"mmu:100038489","100038489"
"mmu:100038514","100038514"
"mmu:100038538","100038538"
"mmu:100038570","100038570"
"mmu:100038599","100038599"
"mmu:100038657","100038657"
"mmu:100038725","100038725"
"mmu:100038847","100038847"
"mmu:100038854","100038854"
"mmu:100038859","100038859"
"mmu:100038860","100038860"
"mmu:100038862","100038862"
"mmu:100038882","100038882"
"mmu:100038909","100038909"
"mmu:100038927","100038927"
"mmu:100038941","100038941"
"mmu:100038947","100038947"
"mmu:100038948","100038948"
"mmu:100038949","100038949"
"mmu:100038967","100038967"
"mmu:100038977","100038977"
"mmu:100038992","100038992"
"mmu:100038993","100038993"
"mmu:100038995","100038995"
"mmu:100038997","100038997"
"mmu:100039008","100039008"
"mmu:100039010","100039010"
"mmu:100039014","100039014"
"mmu:100039019","100039019"
"mmu:100039028","100039028"
"mmu:100039029","100039029"
"mmu:100039030","100039030"
"mmu:100039034","100039034"
"mmu:100039042","100039042"
"mmu:100039045","100039045"
"mmu:100039052","100039052"
"mmu:100039053","100039053"
"mmu:100039054","100039054"
"mmu:100039055","100039055"
"mmu:100039060","100039060"
"mmu:100039065","100039065"
"mmu:100039078","100039078"
"mmu:100039087","100039087"
"mmu:100039089","100039089"
"mmu:100039100","100039100"
"mmu:100039116","100039116"
"mmu:100039120","100039120"
"mmu:100039123","100039123"
"mmu:100039139","100039139"
"mmu:100039150","100039150"
"mmu:100039175","100039175"
"mmu:100039177","100039177"
"mmu:100039192","100039192"
"mmu:100039206","100039206"
"mmu:100039210","100039210"
"mmu:100039213","100039213"
"mmu:100039227","100039227"
"mmu:100039240","100039240"
"mmu:100039246","100039246"
"mmu:100039257","100039257"
"mmu:100039269","100039269"
"mmu:100039280","100039280"
"mmu:100039284","100039284"
"mmu:100039293","100039293"
"mmu:100039315","100039315"
"mmu:100039319","100039319"
"mmu:100039324","100039324"
"mmu:100039377","100039377"
"mmu:100039441","100039441"
"mmu:100039446","100039446"
"mmu:100039452","100039452"
"mmu:100039467","100039467"
"mmu:100039479","100039479"
"mmu:100039499","100039499"
"mmu:100039550","100039550"
"mmu:100039551","100039551"
"mmu:100039574","100039574"
"mmu:100039585","100039585"
"mmu:100039595","100039595"
"mmu:100039596","100039596"
"mmu:100039614","100039614"
"mmu:100039672","100039672"
"mmu:100039707","100039707"
"mmu:100039753","100039753"
"mmu:100039763","100039763"
"mmu:100039781","100039781"
"mmu:100039789","100039789"
"mmu:100039794","100039794"
"mmu:100039795","100039795"
"mmu:100039796","100039796"
"mmu:100039801","100039801"
"mmu:100039810","100039810"
"mmu:100039815","100039815"
"mmu:100039830","100039830"
"mmu:100039848","100039848"
"mmu:100039863","100039863"
"mmu:100039890","100039890"
"mmu:100039899","100039899"
"mmu:100039913","100039913"
"mmu:100039934","100039934"
"mmu:100039939","100039939"
"mmu:100039946","100039946"
"mmu:100039948","100039948"
"mmu:100039953","100039953"
"mmu:100039968","100039968"
"mmu:100039973","100039973"
"mmu:100040016","100040016"
"mmu:100040018","100040018"
"mmu:100040020","100040020"
"mmu:100040022","100040022"
"mmu:100040031","100040031"
"mmu:100040035","100040035"
"mmu:100040048","100040048"
"mmu:100040049","100040049"
"mmu:100040160","100040160"
"mmu:100040171","100040171"
"mmu:100040187","100040187"
"mmu:100040201","100040201"
"mmu:100040208","100040208"
"mmu:100040214","100040214"
"mmu:100040223","100040223"
"mmu:100040233","100040233"
"mmu:100040248","100040248"
"mmu:100040262","100040262"
"mmu:100040268","100040268"
"mmu:100040276","100040276"
"mmu:100040298","100040298"
"mmu:100040299","100040299"
"mmu:100040335","100040335"
"mmu:100040429","100040429"
"mmu:100040448","100040448"
"mmu:100040458","100040458"
"mmu:100040462","100040462"
"mmu:100040482","100040482"
"mmu:100040500","100040500"
"mmu:100040531","100040531"
"mmu:100040533","100040533"
"mmu:100040545","100040545"
"mmu:100040563","100040563"
"mmu:100040585","100040585"
"mmu:100040591","100040591"
"mmu:100040599","100040599"
"mmu:100040606","100040606"
"mmu:100040608","100040608"
"mmu:100040635","100040635"
"mmu:100040657","100040657"
"mmu:100040671","100040671"
"mmu:100040697","100040697"
"mmu:100040698","100040698"
"mmu:100040712","100040712"
"mmu:100040714","100040714"
"mmu:100040722","100040722"
"mmu:100040732","100040732"
"mmu:100040766","100040766"
"mmu:100040771","100040771"
"mmu:100040781","100040781"
"mmu:100040786","100040786"
"mmu:100040807","100040807"
"mmu:100040843","100040843"
"mmu:100040854","100040854"
"mmu:100040861","100040861"
"mmu:100040867","100040867"
"mmu:100040870","100040870"
"mmu:100040885","100040885"
"mmu:100040894","100040894"
"mmu:100040899","100040899"
"mmu:100040911","100040911"
"mmu:100040923","100040923"
"mmu:100040926","100040926"
"mmu:100040935","100040935"
"mmu:100040937","100040937"
"mmu:100040944","100040944"
"mmu:100040972","100040972"
"mmu:100040981","100040981"
"mmu:100041012","100041012"
"mmu:100041032","100041032"
"mmu:100041054","100041054"
