"KEGG","OTHERID"
"mmu:100009600","NP_001096638"
"mmu:100009609","NP_001098650"
"mmu:100009614","NP_001074921"
"mmu:100012","NP_957710"
"mmu:100017","NP_663529"
"mmu:100019","NP_001074861"
"mmu:100033459","NP_001156410"
"mmu:100034251","NP_001075426"
"mmu:100034361","NP_001075444"
"mmu:100034363","NP_001074436"
"mmu:100034684","NP_001076015"
"mmu:100034729","NP_001076435"
"mmu:100034748","NP_001344948"
"mmu:100036518","NP_001076780"
"mmu:100036521","NP_001289282"
"mmu:100036568","XP_030104000"
"mmu:100037258","NP_032955"
"mmu:100037278","NP_001159685"
"mmu:100037282","NP_001077414"
"mmu:100037283","NP_001077407"
"mmu:100038347","NP_001156004"
"mmu:100038417","NP_001161895"
"mmu:100038489","NP_001284483"
"mmu:100038514","NP_001230029"
"mmu:100038538","NP_001171221"
"mmu:100038570","NP_001156790"
"mmu:100038599","NP_001344952"
"mmu:100038657","NP_001171052"
"mmu:100038725","NP_001191912"
"mmu:100038847","NP_001158199"
"mmu:100038854","NP_001001332"
"mmu:100038859","NP_035128"
"mmu:100038860","NP_997058"
"mmu:100038862","NP_001104564"
"mmu:100038882","NP_056598"
"mmu:100038909","NP_001160144"
"mmu:100038927","NP_001170956"
"mmu:100038941","NP_001094086"
"mmu:100038947","NP_001166930"
"mmu:100038948","NP_001268908"
"mmu:100038949","NP_001268448"
"mmu:100038967","XP_001472012"
"mmu:100038977","NP_001096147"
"mmu:100038992","XP_003945542"
"mmu:100038993","NP_001094066"
"mmu:100038995","XP_006542847"
"mmu:100038997","XP_011247950"
"mmu:100039008","NP_001116119"
"mmu:100039010","XP_017174408"
"mmu:100039014","XP_017174212"
"mmu:100039019","XP_006538468"
"mmu:100039028","NP_001157998"
"mmu:100039029","XP_006535657"
"mmu:100039030","NP_001098416"
"mmu:100039034","XP_011249372"
"mmu:100039042","NP_001116134"
"mmu:100039045","NP_001171050"
"mmu:100039052","NP_001171045"
"mmu:100039053","XP_001472218"
"mmu:100039054","NP_001186924"
"mmu:100039055","NP_001207426"
"mmu:100039060","NP_001171014"
"mmu:100039065","NP_001093915"
"mmu:100039078","XP_006535412"
"mmu:100039087","NP_001257721"
"mmu:100039089","NP_001334063"
"mmu:100039100","XP_017170816"
"mmu:100039116","NP_001186928"
"mmu:100039120","NP_001155836"
"mmu:100039123","NP_001191986"
"mmu:100039139","NP_001159535"
"mmu:100039150","NP_001186933"
"mmu:100039175","NP_001361695"
"mmu:100039177","NP_001186865"
"mmu:100039192","NP_001257427"
"mmu:100039206","NP_001186935"
"mmu:100039210","XP_006496650"
"mmu:100039213","NP_001257435"
"mmu:100039227","NP_001171009"
"mmu:100039240","NP_001103439"
"mmu:100039246","NP_001257432"
"mmu:100039257","NP_001257424"
"mmu:100039269","XP_001472451"
"mmu:100039280","NP_001297392"
"mmu:100039284","XP_006514482"
"mmu:100039293","NP_001171010"
"mmu:100039315","NP_001098724"
"mmu:100039319","NP_001096135"
"mmu:100039324","NP_001093389"
"mmu:100039377","NP_001096148"
"mmu:100039441","NP_001361048"
"mmu:100039446","XP_006498558"
"mmu:100039452","XP_001472902"
"mmu:100039467","NP_001094079"
"mmu:100039479","NP_001161039"
"mmu:100039499","NP_001161040"
"mmu:100039550","NP_001103440"
"mmu:100039551","NP_001136222"
"mmu:100039574","NP_001153607"
"mmu:100039585","NP_001103720"
"mmu:100039595","XP_011249343"
"mmu:100039596","NP_001272354"
"mmu:100039614","NP_001153609"
"mmu:100039672","NP_001092784"
"mmu:100039707","NP_001122073"
"mmu:100039753","NP_001017394"
"mmu:100039763","XP_006528483"
"mmu:100039781","NP_081787"
"mmu:100039789","XP_006538475"
"mmu:100039794","XP_030100783"
"mmu:100039795","NP_001158000"
"mmu:100039796","NP_001138636"
"mmu:100039801","NP_001104788"
"mmu:100039810","NP_001153616"
"mmu:100039815","XP_030102892"
"mmu:100039830","XP_030102893"
"mmu:100039848","XP_006538477"
"mmu:100039863","NP_001157518"
"mmu:100039890","NP_001093390"
"mmu:100039899","XP_006541630"
"mmu:100039913","NP_001092786"
"mmu:100039934","NP_001116206"
"mmu:100039939","NP_001186894"
"mmu:100039946","XP_003945835"
"mmu:100039948","NP_001092788"
"mmu:100039953","NP_001182184"
"mmu:100039968","NP_001092789"
"mmu:100039973","XP_006542823"
"mmu:100040016","NP_001078817"
"mmu:100040018","XP_030111568"
"mmu:100040020","XP_011246186"
"mmu:100040022","NP_001186260"
"mmu:100040031","NP_001153615"
"mmu:100040035","XP_006538478"
"mmu:100040048","NP_001186888"
"mmu:100040049","NP_001356131"
"mmu:100040160","NP_001095093"
"mmu:100040171","XP_011249373"
"mmu:100040187","XP_001473675"
"mmu:100040201","NP_001186263"
"mmu:100040208","NP_001096130"
"mmu:100040214","NP_001257416"
"mmu:100040223","NP_001096622"
"mmu:100040233","NP_001096623"
"mmu:100040248","NP_001119792"
"mmu:100040262","XP_011249352"
"mmu:100040268","NP_062348"
"mmu:100040276","NP_001119794"
"mmu:100040298","NP_001345016"
"mmu:100040299","NP_001191938"
"mmu:100040335","XP_011249348"
"mmu:100040429","XP_011249395"
"mmu:100040448","XP_001474977"
"mmu:100040458","NP_001361652"
"mmu:100040462","NP_001164324"
"mmu:100040482","NP_001161806"
"mmu:100040500","XP_017173259"
"mmu:100040531","NP_001160099"
"mmu:100040533","NP_001161809"
"mmu:100040545","NP_001361053"
"mmu:100040563","NP_001160102"
