"KEGG","OTHERID"
"mmu:100009600","Q1WG82"
"mmu:100009609","G3X931"
"mmu:100009614","A0A0A0MQA4"
"mmu:100012","Q3UWY1"
"mmu:100017","Q8C142"
"mmu:100019","J3QMC5"
"mmu:100033459","Q3V3Q4"
"mmu:100034251","Q5SSJ1"
"mmu:100034361","C0HKD8"
"mmu:100034361","C0HKD9"
"mmu:100034363","A2AF31"
"mmu:100034684","Q497J0"
"mmu:100034729","B1B0X6"
"mmu:100036518","Q5SSA0"
"mmu:100036521","E0CX23"
"mmu:100037258","Q91YW3"
"mmu:100037258","Q3UFV9"
"mmu:100037278","D3YZB0"
"mmu:100037282","Q9DA80"
"mmu:100037283","C0HKG5"
"mmu:100037283","C0HKG6"
"mmu:100037283","Q5FWA0"
"mmu:100038347","Q8K064"
"mmu:100038417","Q3UTS8"
"mmu:100038489","P0DMC4"
"mmu:100038538","Q3TQP0"
"mmu:100038570","Q00LT2"
"mmu:100038657","Q3UWS6"
"mmu:100038725","Q3V3K0"
"mmu:100038725","A0A1W2P884"
"mmu:100038847","A6NAS4"
"mmu:100038854","L7N257"
"mmu:100038859","K7N6Q1"
"mmu:100038860","A0PK55"
"mmu:100038862","Q7TST0"
"mmu:100038882","Q64339"
"mmu:100038882","Q4FJR9"
"mmu:100038909","E9Q1Z6"
"mmu:100038927","E9QPZ2"
"mmu:100038941","A2BE32"
"mmu:100038947","Q1AN90"
"mmu:100038948","P02762"
"mmu:100038948","A2CGB6"
"mmu:100038949","E9QAN3"
"mmu:100038977","A6X8I0"
"mmu:100038992","A0A1Y7VKT9"
"mmu:100038993","P70225"
"mmu:100038995","D3YUJ6"
"mmu:100039008","A2BIN1"
"mmu:100039014","Q3TTD8"
"mmu:100039028","P04938"
"mmu:100039028","A2BIM8"
"mmu:100039028","Q9CXU6"
"mmu:100039030","B1B0R1"
"mmu:100039034","J3QP49"
"mmu:100039042","Q3TQZ4"
"mmu:100039045","E9Q1C7"
"mmu:100039052","A0A1Y7VLT7"
"mmu:100039053","O70460"
"mmu:100039053","Q548P0"
"mmu:100039054","P11588"
"mmu:100039054","Q58ES8"
"mmu:100039055","B7ZN82"
"mmu:100039060","A2ART4"
"mmu:100039065","D3Z7C4"
"mmu:100039087","Q5RJV9"
"mmu:100039087","Q8C2W0"
"mmu:100039089","A2CEK6"
"mmu:100039116","A2CEK7"
"mmu:100039120","B1AZA0"
"mmu:100039123","A2BG90"
"mmu:100039139","E9PX14"
"mmu:100039150","A9R9W0"
"mmu:100039177","P02762"
"mmu:100039177","A2CGB6"
"mmu:100039192","P0DN89"
"mmu:100039192","P0DN90"
"mmu:100039192","P0DN91"
"mmu:100039206","B5X0G2"
"mmu:100039213","Q8BX39"
"mmu:100039227","Q7TNE6"
"mmu:100039240","Q62478"
"mmu:100039246","Q8K262"
"mmu:100039257","P0DN89"
"mmu:100039257","P0DN90"
"mmu:100039257","P0DN91"
"mmu:100039280","Q8BX39"
"mmu:100039293","Q7TNE6"
"mmu:100039315","L7N1Y3"
"mmu:100039319","S4R1E0"
"mmu:100039324","Q62478"
"mmu:100039377","Q62478"
"mmu:100039452","L7N2A3"
"mmu:100039467","Q62478"
"mmu:100039479","Q8R2C0"
"mmu:100039499","Q9EPT1"
"mmu:100039550","Q62478"
"mmu:100039551","Q8K5B9"
"mmu:100039574","Q9D9T3"
"mmu:100039585","Q62478"
"mmu:100039595","A0A0A6YXX7"
"mmu:100039596","Q3UV43"
"mmu:100039596","V9GWT9"
"mmu:100039614","Q62458"
"mmu:100039672","B1AWI6"
"mmu:100039707","L7N466"
"mmu:100039753","J3KMI0"
"mmu:100039763","A0A571BDF8"
"mmu:100039781","Q9D6B9"
"mmu:100039795","B5TVM2"
"mmu:100039796","Q62293"
