KEGG	OTHERID	OTHERTYPE
C00001	WATER	BIOCYC
C00002	ATP	BIOCYC
C00003	NAD	BIOCYC
C00004	NADH	BIOCYC
C00005	NADPH	BIOCYC
C00006	NADP	BIOCYC
C00007	OXYGEN-MOLECULE	BIOCYC
C00008	ADP	BIOCYC
C00009	CPD-20124	BIOCYC
C00010	CO-A	BIOCYC
C00011	CARBON-DIOXIDE	BIOCYC
C00013	PPI	BIOCYC
C00014	AMMONIA	BIOCYC
C00015	UDP	BIOCYC
C00016	FAD	BIOCYC
C00017	General-Protein-Substrates	BIOCYC
C00018	PYRIDOXAL_PHOSPHATE	BIOCYC
C00019	S-ADENOSYLMETHIONINE	BIOCYC
C00020	AMP	BIOCYC
C00021	ADENOSYL-HOMO-CYS	BIOCYC
C00022	PYRUVATE	BIOCYC
C00024	ACETYL-COA	BIOCYC
C00025	GLT	BIOCYC
C00026	2-KETOGLUTARATE	BIOCYC
C00027	HYDROGEN-PEROXIDE	BIOCYC
C00028	Acceptor	BIOCYC
C00029	CPD-12575	BIOCYC
C00030	Donor-H2	BIOCYC
C00031	Glucopyranose	BIOCYC
C00032	Heme-b	BIOCYC
C00032	PROTOHEME	BIOCYC
C00033	ACET	BIOCYC
C00035	GDP	BIOCYC
C00036	OXALACETIC_ACID	BIOCYC
C00037	GLY	BIOCYC
C00038	ZN+2	BIOCYC
C00039	DNA-N	BIOCYC
C00040	ACYL-COA	BIOCYC
C00041	L-ALPHA-ALANINE	BIOCYC
C00042	SUC	BIOCYC
C00043	UDP-N-ACETYL-D-GLUCOSAMINE	BIOCYC
C00044	GTP	BIOCYC
C00045	Amino-Acids	BIOCYC
C00046	Ribonucleotides	BIOCYC
C00047	LYS	BIOCYC
C00048	GLYOX	BIOCYC
C00049	L-ASPARTATE	BIOCYC
C00051	GLUTATHIONE	BIOCYC
C00052	CPD-14553	BIOCYC
C00053	PAPS	BIOCYC
C00054	3-5-ADP	BIOCYC
C00055	CMP	BIOCYC
C00058	FORMATE	BIOCYC
C00059	SULFATE	BIOCYC
C00060	Monocarboxylates	BIOCYC
C00061	FMN	BIOCYC
C00062	ARG	BIOCYC
C00063	CTP	BIOCYC
C00064	GLN	BIOCYC
C00065	SER	BIOCYC
C00067	FORMALDEHYDE	BIOCYC
C00068	THIAMINE-PYROPHOSPHATE	BIOCYC
C00069	Alcohols	BIOCYC
C00071	Aldehydes	BIOCYC
C00072	ASCORBATE	BIOCYC
C00073	MET	BIOCYC
C00074	PHOSPHO-ENOL-PYRUVATE	BIOCYC
C00075	UTP	BIOCYC
C00076	CA+2	BIOCYC
C00077	L-ORNITHINE	BIOCYC
C00078	TRP	BIOCYC
C00079	PHE	BIOCYC
C00080	PROTON	BIOCYC
C00081	ITP	BIOCYC
C00082	TYR	BIOCYC
C00083	MALONYL-COA	BIOCYC
C00084	ACETALD	BIOCYC
C00086	UREA	BIOCYC
C00087	Elemental-Sulfur	BIOCYC
C00088	NITRITE	BIOCYC
C00089	SUCROSE	BIOCYC
C00090	CATECHOL	BIOCYC
C00091	SUC-COA	BIOCYC
C00092	D-glucopyranose-6-phosphate	BIOCYC
C00093	GLYCEROL-3P	BIOCYC
C00094	H2SO3	BIOCYC
C00095	FRU	BIOCYC
C00096	GDP-MANNOSE	BIOCYC
C00097	CYS	BIOCYC
C00099	B-ALANINE	BIOCYC
C00100	PROPIONYL-COA	BIOCYC
C00101	THF	BIOCYC
C00102	DCPIP	BIOCYC
C00103	GLC-1-P	BIOCYC
C00104	IDP	BIOCYC
C00105	UMP	BIOCYC
C00106	URACIL	BIOCYC
C00108	ANTHRANILATE	BIOCYC
C00109	2-OXOBUTANOATE	BIOCYC
C00110	DOLICHOLP	BIOCYC
C00111	DIHYDROXY-ACETONE-PHOSPHATE	BIOCYC
C00112	CDP	BIOCYC
C00113	PQQ	BIOCYC
C00114	CHOLINE	BIOCYC
C00116	GLYCEROL	BIOCYC
C00117	RIBOSE-5P	BIOCYC
C00118	GAP	BIOCYC
C00119	PRPP	BIOCYC
C00120	BIOTIN	BIOCYC
C00121	RIBOSE	BIOCYC
C00122	FUM	BIOCYC
C00123	LEU	BIOCYC
C00124	D-galactopyranose	BIOCYC
C00125	Cytochromes-C-Oxidized	BIOCYC
C00126	Cytochromes-C-Reduced	BIOCYC
C00127	OXIDIZED-GLUTATHIONE	BIOCYC
C00128	CMP-N-ACETYL-NEURAMINATE	BIOCYC
C00129	DELTA3-ISOPENTENYL-PP	BIOCYC
C00130	IMP	BIOCYC
C00131	DATP	BIOCYC
C00132	METOH	BIOCYC
C00133	D-ALANINE	BIOCYC
C00134	PUTRESCINE	BIOCYC
C00135	HIS	BIOCYC
C00136	BUTYRYL-COA	BIOCYC
C00137	MYO-INOSITOL	BIOCYC
C00138	Reduced-ferredoxins	BIOCYC
C00139	Oxidized-ferredoxins	BIOCYC
C00140	N-acetyl-D-glucosamine	BIOCYC
C00141	2-KETO-ISOVALERATE	BIOCYC
C00143	METHYLENE-THF	BIOCYC
C00144	GMP	BIOCYC
C00145	Thiols	BIOCYC
C00146	PHENOL	BIOCYC
C00147	ADENINE	BIOCYC
C00148	PRO	BIOCYC
C00149	MAL	BIOCYC
C00150	CPD0-2009	BIOCYC
C00151	L-Amino-Acids	BIOCYC
C00152	ASN	BIOCYC
C00153	NIACINAMIDE	BIOCYC
C00154	PALMITYL-COA	BIOCYC
C00155	HOMO-CYS	BIOCYC
C00156	4-hydroxybenzoate	BIOCYC
C00157	PHOSPHATIDYLCHOLINE	BIOCYC
C00158	CIT	BIOCYC
C00159	D-mannopyranose	BIOCYC
C00160	GLYCOLLATE	BIOCYC
C00161	2-Oxo-carboxylates	BIOCYC
C00162	Fatty-Acids	BIOCYC
C00163	PROPIONATE	BIOCYC
C00164	3-KETOBUTYRATE	BIOCYC
C00165	Diacylglycerides	BIOCYC
C00166	PHENYL-PYRUVATE	BIOCYC
C00167	UDP-GLUCURONATE	BIOCYC
C00168	OH-PYR	BIOCYC
C00169	CARBAMOYL-P	BIOCYC
C00170	5-METHYLTHIOADENOSINE	BIOCYC
C00174	Acids	BIOCYC
C00175	CO+2	BIOCYC
C00176	Oxidized-Flavins	BIOCYC
C00177	CPD-13584	BIOCYC
C00178	THYMINE	BIOCYC
C00179	AGMATHINE	BIOCYC
C00180	BENZOATE	BIOCYC
C00181	D-Xylose	BIOCYC
C00182	Glycogens	BIOCYC
C00183	VAL	BIOCYC
C00184	DIHYDROXYACETONE	BIOCYC
C00185	CPD-15975	BIOCYC
C00186	L-LACTATE	BIOCYC
C00187	CHOLESTEROL	BIOCYC
C00188	THR	BIOCYC
C00189	ETHANOL-AMINE	BIOCYC
C00190	UDP-D-XYLOSE	BIOCYC
C00191	D-Glucopyranuronate	BIOCYC
C00191	GLUCURONATE	BIOCYC
C00192	HYDROXYLAMINE	BIOCYC
C00193	Aryl-Aldehyde	BIOCYC
C00194	ADENOSYLCOBALAMIN	BIOCYC
C00195	N-Acylsphingosine	BIOCYC
C00196	2-3-DIHYDROXYBENZOATE	BIOCYC
C00197	G3P	BIOCYC
C00198	GLC-D-LACTONE	BIOCYC
C00199	RIBULOSE-5P	BIOCYC
C00200	PMS	BIOCYC
C00201	Nucleoside-Triphosphates	BIOCYC
C00202	DIISOPROPYL-FLUOROPHOSPHATE	BIOCYC
C00203	UDP-N-ACETYL-GALACTOSAMINE	BIOCYC
C00204	2-DEHYDRO-3-DEOXY-D-GLUCONATE	BIOCYC
C00205	Light	BIOCYC
C00206	DADP	BIOCYC
C00207	ACETONE	BIOCYC
C00208	MALTOSE	BIOCYC
C00209	OXALATE	BIOCYC
C00210	CPD-20843	BIOCYC
C00212	ADENOSINE	BIOCYC
C00213	SARCOSINE	BIOCYC
C00214	THYMIDINE	BIOCYC
C00215	Nucleotides	BIOCYC
C00216	D-ARABINOSE	BIOCYC
C00217	D-GLT	BIOCYC
C00218	METHYLAMINE	BIOCYC
C00219	ARACHIDONIC_ACID	BIOCYC
C00221	GLC	BIOCYC
C00222	MALONATE-S-ALD	BIOCYC
C00223	P-COUMAROYL-COA	BIOCYC
C00224	APS	BIOCYC
C00226	Primary-Alcohols	BIOCYC
C00227	ACETYL-P	BIOCYC
C00229	ACP	BIOCYC
C00230	3-4-DIHYDROXYBENZOATE	BIOCYC
C00231	XYLULOSE-5-PHOSPHATE	BIOCYC
C00232	SUCC-S-ALD	BIOCYC
C00233	2K-4CH3-PENTANOATE	BIOCYC
C00234	10-FORMYL-THF	BIOCYC
C00235	CPD-4211	BIOCYC
C00236	DPG	BIOCYC
C00237	CARBON-MONOXIDE	BIOCYC
C00238	K+	BIOCYC
C00239	DCMP	BIOCYC
C00242	GUANINE	BIOCYC
C00243	Alpha-lactose	BIOCYC
C00244	CPD-15028	BIOCYC
C00244	NITRATE	BIOCYC
C00245	TAURINE	BIOCYC
C00246	BUTYRIC_ACID	BIOCYC
C00247	CPD-9569	BIOCYC
C00248	LIPOAMIDE	BIOCYC
C00249	PALMITATE	BIOCYC
