KEGG	OTHERID	OTHERTYPE
C00001	H2O; Water	COMPOUND
C00002	ATP; Adenosine 5'-triphosphate	COMPOUND
C00003	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	COMPOUND
C00004	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	COMPOUND
C00005	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	COMPOUND
C00006	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	COMPOUND
C00007	Oxygen; O2	COMPOUND
C00008	ADP; Adenosine 5'-diphosphate	COMPOUND
C00009	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	COMPOUND
C00010	CoA; Coenzyme A; CoA-SH	COMPOUND
C00011	CO2; Carbon dioxide	COMPOUND
C00012	Peptide	COMPOUND
C00013	Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	COMPOUND
C00014	Ammonia; NH3	COMPOUND
C00015	UDP; Uridine 5'-diphosphate	COMPOUND
C00016	FAD; Flavin adenine dinucleotide	COMPOUND
C00017	Protein	COMPOUND
C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	COMPOUND
C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	COMPOUND
C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	COMPOUND
C00021	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	COMPOUND
C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	COMPOUND
C00023	Iron	COMPOUND
C00024	Acetyl-CoA; Acetyl coenzyme A	COMPOUND
C00025	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	COMPOUND
C00026	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	COMPOUND
C00027	Hydrogen peroxide; H2O2; Oxydol	COMPOUND
C00028	Acceptor; Hydrogen-acceptor; A; Oxidized donor	COMPOUND
C00029	UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose	COMPOUND
C00030	Reduced acceptor; AH2; Hydrogen-donor; Donor	COMPOUND
C00031	D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose	COMPOUND
C00032	Heme; Haem; Protoheme; Heme B; Protoheme IX	COMPOUND
C00033	Acetate; Acetic acid; Ethanoic acid	COMPOUND
C00034	Manganese	COMPOUND
C00035	GDP; Guanosine 5'-diphosphate; Guanosine diphosphate	COMPOUND
C00036	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	COMPOUND
C00037	Glycine; Aminoacetic acid; Gly	COMPOUND
C00038	Zinc cation; Zn2+; Zn(II); Zinc ion	COMPOUND
C00039	DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyribonucleic acid	COMPOUND
C00040	Acyl-CoA; Acyl coenzyme A	COMPOUND
C00041	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	COMPOUND
C00042	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	COMPOUND
C00043	UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine	COMPOUND
C00044	GTP; Guanosine 5'-triphosphate	COMPOUND
C00045	Amino acid; Amino acids	COMPOUND
C00046	RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid	COMPOUND
C00047	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid	COMPOUND
C00048	Glyoxylate; Glyoxalate; Glyoxylic acid	COMPOUND
C00049	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	COMPOUND
C00050	Metal	COMPOUND
C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	COMPOUND
C00052	UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose	COMPOUND
C00053	3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS	COMPOUND
C00054	Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate	COMPOUND
C00055	CMP; Cytidine-5'-monophosphate; Cytidylic acid	COMPOUND
C00058	Formate; Methanoic acid; Formic acid	COMPOUND
C00059	Sulfate; Sulfuric acid	COMPOUND
C00060	Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid	COMPOUND
C00061	FMN; Riboflavin-5-phosphate; Flavin mononucleotide	COMPOUND
C00062	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg	COMPOUND
C00063	CTP; Cytidine 5'-triphosphate; Cytidine triphosphate	COMPOUND
C00064	L-Glutamine; L-2-Aminoglutaramic acid	COMPOUND
C00065	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	COMPOUND
C00066	tRNA; tRNA(n); tRNA(n+1); transfer RNA	COMPOUND
C00067	Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin	COMPOUND
C00068	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP	COMPOUND
C00069	Alcohol	COMPOUND
C00070	Copper; Cu+; Cu2+; Cu(II)	COMPOUND
C00071	Aldehyde; RCHO	COMPOUND
C00072	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	COMPOUND
C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	COMPOUND
C00074	Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	COMPOUND
C00075	UTP; Uridine 5'-triphosphate; Uridine triphosphate	COMPOUND
C00076	Calcium cation; Ca2+; Calcium(2+); Calcium ion	COMPOUND
C00077	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	COMPOUND
C00078	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid	COMPOUND
C00079	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	COMPOUND
C00080	H+; Hydron	COMPOUND
C00081	ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate	COMPOUND
C00082	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	COMPOUND
C00083	Malonyl-CoA; Malonyl coenzyme A	COMPOUND
C00084	Acetaldehyde; Ethanal	COMPOUND
C00085	D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester	COMPOUND
C00086	Urea; Carbamide	COMPOUND
C00087	Sulfur; S; Elemental sulfur	COMPOUND
C00088	Nitrite	COMPOUND
C00089	Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	COMPOUND
C00090	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol	COMPOUND
C00091	Succinyl-CoA; Succinyl coenzyme A	COMPOUND
C00092	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester	COMPOUND
C00093	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate	COMPOUND
C00094	Sulfite; Sulfurous acid	COMPOUND
C00095	D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose	COMPOUND
C00096	GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose	COMPOUND
C00097	L-Cysteine; L-2-Amino-3-mercaptopropionic acid	COMPOUND
C00098	Oligopeptide	COMPOUND
C00099	beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate	COMPOUND
C00100	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A	COMPOUND
C00101	Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA	COMPOUND
C00102	2,6-Dichloroindophenol; 2,6-Dichlorophenolindophenol; DCIP	COMPOUND
C00103	D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	COMPOUND
C00104	IDP; Inosine 5'-diphosphate; Inosine diphosphate	COMPOUND
C00105	UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid	COMPOUND
C00106	Uracil	COMPOUND
C00107	Dipeptide	COMPOUND
C00108	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate	COMPOUND
C00109	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	COMPOUND
C00110	Dolichyl phosphate; Dolichol phosphate	COMPOUND
C00111	Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate	COMPOUND
C00112	CDP; Cytidine 5'-diphosphate; Cytidine diphosphate	COMPOUND
C00113	PQQ; Pyrrolo-quinoline quinone; Pyrroloquinoline-quinone; Pyrroloquinoline quinone; 4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate; Methoxatin	COMPOUND
C00114	Choline; Bilineurine	COMPOUND
C00116	Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol	COMPOUND
C00117	D-Ribose 5-phosphate; Ribose 5-phosphate	COMPOUND
C00118	D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate	COMPOUND
C00119	5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP	COMPOUND
C00120	Biotin; D-Biotin; Vitamin H; Coenzyme R	COMPOUND
C00121	D-Ribose	COMPOUND
C00122	Fumarate; Fumaric acid; trans-Butenedioic acid	COMPOUND
C00123	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	COMPOUND
C00124	D-Galactose; D-Galactopyranose	COMPOUND
C00125	Ferricytochrome c; Cytochrome c3+	COMPOUND
C00126	Ferrocytochrome c; Cytochrome c2+; Reduced cytochrome c	COMPOUND
C00127	Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	COMPOUND
C00128	CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate	COMPOUND
C00129	Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate	COMPOUND
C00130	IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP	COMPOUND
C00131	dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate	COMPOUND
C00132	Methanol; Methyl alcohol; CH3OH	COMPOUND
C00133	D-Alanine; D-2-Aminopropionic acid; D-Ala	COMPOUND
C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine	COMPOUND
C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid	COMPOUND
C00136	Butanoyl-CoA; Butyryl-CoA	COMPOUND
C00137	myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I	COMPOUND
C00138	Reduced ferredoxin; Reduced ferredoxin [iron-sulfur] cluster	COMPOUND
C00139	Oxidized ferredoxin; Oxidized ferredoxin [iron-sulfur] cluster	COMPOUND
C00140	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc	COMPOUND
C00141	3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	COMPOUND
C00143	5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF	COMPOUND
C00144	GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid	COMPOUND
C00145	Thiol; Mercaptan	COMPOUND
C00146	Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid	COMPOUND
C00147	Adenine; 6-Aminopurine	COMPOUND
C00148	L-Proline; 2-Pyrrolidinecarboxylic acid	COMPOUND
C00149	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid	COMPOUND
C00150	Molybdenum	COMPOUND
C00151	L-Amino acid; L-2-Amino acid	COMPOUND
C00152	L-Asparagine; 2-Aminosuccinamic acid	COMPOUND
C00153	Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP	COMPOUND
C00154	Palmitoyl-CoA; Hexadecanoyl-CoA	COMPOUND
C00155	L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine	COMPOUND
C00156	4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid	COMPOUND
C00157	Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine; Choline phosphatide; 3-sn-Phosphatidylcholine	COMPOUND
C00158	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid	COMPOUND
C00159	D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose	COMPOUND
C00160	Glycolate; Glycolic acid; Hydroxyacetic acid	COMPOUND
C00161	2-Oxo acid; 2-Oxocarboxylate; 2-Oxocarboxylic acid; 2-Oxo carboxylate	COMPOUND
C00162	Fatty acid	COMPOUND
C00163	Propanoate; Propionate; Propanoic acid; Propionic acid	COMPOUND
C00164	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	COMPOUND
C00165	Diacylglycerol; Diglyceride	COMPOUND
C00166	Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate	COMPOUND
C00167	UDP-glucuronate; UDPglucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate	COMPOUND
