KEGG	OTHERID	OTHERTYPE
C00001	7732-18-5	CAS
C00002	56-65-5	CAS
C00003	53-84-9	CAS
C00004	58-68-4	CAS
C00005	2646-71-1	CAS
C00006	53-59-8	CAS
C00007	7782-44-7	CAS
C00008	58-64-0	CAS
C00009	7664-38-2	CAS
C00010	85-61-0	CAS
C00011	124-38-9	CAS
C00013	2466-09-3	CAS
C00014	7664-41-7	CAS
C00015	58-98-0	CAS
C00016	146-14-5	CAS
C00018	54-47-7	CAS
C00019	29908-03-0	CAS
C00020	61-19-8	CAS
C00021	979-92-0	CAS
C00022	127-17-3	CAS
C00023	7439-89-6	CAS
C00024	72-89-9	CAS
C00025	56-86-0	CAS
C00026	328-50-7	CAS
C00027	7722-84-1	CAS
C00029	133-89-1	CAS
C00031	50-99-7	CAS
C00032	14875-96-8	CAS
C00033	64-19-7	CAS
C00034	7439-96-5	CAS
C00035	146-91-8	CAS
C00036	328-42-7	CAS
C00037	56-40-6	CAS
C00038	7440-66-6	CAS
C00039	9007-49-2	CAS
C00040	9029-97-4	CAS
C00041	56-41-7	CAS
C00042	110-15-6	CAS
C00044	86-01-1	CAS
C00047	56-87-1	CAS
C00048	298-12-4	CAS
C00049	56-84-8	CAS
C00051	70-18-8	CAS
C00052	2956-16-3	CAS
C00053	482-67-7	CAS
C00054	1053-73-2	CAS
C00055	63-37-6	CAS
C00058	64-18-6	CAS
C00059	7664-93-9	CAS
C00061	146-17-8	CAS
C00062	74-79-3	CAS
C00063	65-47-4	CAS
C00064	56-85-9	CAS
C00065	56-45-1	CAS
C00067	50-00-0	CAS
C00070	7440-50-8	CAS
C00072	50-81-7	CAS
C00073	63-68-3	CAS
C00074	138-08-9	CAS
C00075	63-39-8	CAS
C00076	7440-70-2	CAS
C00077	70-26-8	CAS
C00078	73-22-3	CAS
C00079	63-91-2	CAS
C00081	132-06-9	CAS
C00082	60-18-4	CAS
C00083	524-14-1	CAS
C00084	75-07-0	CAS
C00085	643-13-0	CAS
C00086	57-13-6	CAS
C00087	7704-34-9	CAS
C00089	57-50-1	CAS
C00090	120-80-9	CAS
C00091	604-98-8	CAS
C00092	56-73-5	CAS
C00093	17989-41-2	CAS
C00095	57-48-7	CAS
C00096	3123-67-9	CAS
C00097	52-90-4	CAS
C00099	107-95-9	CAS
C00100	317-66-8	CAS
C00101	135-16-0	CAS
C00102	956-48-9	CAS
C00103	59-56-3	CAS
C00104	86-04-4	CAS
C00105	58-97-9	CAS
C00106	66-22-8	CAS
