KEGG	OTHERID	OTHERTYPE
C01152	HMDB0000001	HMDB
C01152	1-Methylhistidine	NAME
C01152	92105	PUBCHEM_CID
C01152	50599	CHEBI
C01152	3741	METLIN
C01152	CN1C=C(N=C1)C[C@@H](C(=O)O)N	SMILES
C00986	HMDB0000002	HMDB
C00986	1,3-Diaminopropane	NAME
C00986	428	PUBCHEM_CID
C00986	15725	CHEBI
C00986	5081	METLIN
C00986	C(CN)CN	SMILES
C00109	HMDB0000005	HMDB
C00109	2-Ketobutyric acid	NAME
C00109	58	PUBCHEM_CID
C00109	30831	CHEBI
C00109	CCC(=O)C(=O)O	SMILES
C05984	HMDB0000008	HMDB
C05984	2-Hydroxybutyric acid	NAME
C05984	11266	PUBCHEM_CID
C05984	1148	CHEBI
C05984	3783	METLIN
C05984	CCC(C(=O)O)O	SMILES
C05299	HMDB0000010	HMDB
C05299	2-Methoxyestrone	NAME
C05299	440624	PUBCHEM_CID
C05299	1189	CHEBI
C05299	2578	METLIN
C05299	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)OC)O	SMILES
C01089	HMDB0000011	HMDB
C01089	(R)-3-Hydroxybutyric acid	NAME
C01089	92135	PUBCHEM_CID
C01089	17066	CHEBI
C01089	C[C@H](CC(=O)O)O	SMILES
C00526	HMDB0000012	HMDB
C00526	Deoxyuridine	NAME
C00526	13712	PUBCHEM_CID
C00526	16450	CHEBI
C00526	5086	METLIN
C00526	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O	SMILES
C00881	HMDB0000014	HMDB
C00881	Deoxycytidine	NAME
C00881	13711	PUBCHEM_CID
C00881	15698	CHEBI
C00881	3367	METLIN
C00881	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O	SMILES
C05488	HMDB0000015	HMDB
C05488	Cortexolone	NAME
C05488	53477676	PUBCHEM_CID
C05488	5088	METLIN
C05488	C[C@]12CCC(=O)C=C1CC[C@@H]3C2CC[C@]4(C3CC[C@@]4(C(=O)CO)O)C	SMILES
C03205	HMDB0000016	HMDB
C03205	Deoxycorticosterone	NAME
C03205	6166	PUBCHEM_CID
C03205	16973	CHEBI
C03205	5089	METLIN
C03205	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C	SMILES
C00847	HMDB0000017	HMDB
C00847	4-Pyridoxic acid	NAME
C00847	6723	PUBCHEM_CID
C00847	17405	CHEBI
C00847	239	METLIN
C00847	CC1=NC=C(C(=C1O)C(=O)O)CO	SMILES
C00141	HMDB0000019	HMDB
C00141	Alpha-ketoisovaleric acid	NAME
C00141	49	PUBCHEM_CID
C00141	16530	CHEBI
C00141	5091	METLIN
C00141	CC(C)C(=O)C(=O)O	SMILES
C00642	HMDB0000020	HMDB
C00642	p-Hydroxyphenylacetic acid	NAME
C00642	127	PUBCHEM_CID
C00642	18101	CHEBI
C00642	130	METLIN
C00642	C1=CC(=CC=C1CC(=O)O)O	SMILES
C02515	HMDB0000021	HMDB
C02515	Iodotyrosine	NAME
C02515	439744	PUBCHEM_CID
C02515	27847	CHEBI
C02515	C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O	SMILES
C05587	HMDB0000022	HMDB
C05587	3-Methoxytyramine	NAME
C05587	1669	PUBCHEM_CID
C05587	742324	CHEBI
C05587	5094	METLIN
C05587	COC1=C(C=CC(=C1)CCN)O	SMILES
C06001	HMDB0000023	HMDB
C06001	(S)-3-Hydroxyisobutyric acid	NAME
C06001	440873	PUBCHEM_CID
C06001	37373	CHEBI
C06001	483	METLIN
C06001	C[C@@H](CO)C(=O)O	SMILES
C06125	HMDB0000024	HMDB
C06125	3-O-Sulfogalactosylceramide (d18:1/24:0)	NAME
C06125	6451121	PUBCHEM_CID
C06125	60361	CHEBI
C06125	5096	METLIN
C06125	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OS(=O)(=O)O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O	SMILES
C02642	HMDB0000026	HMDB
C02642	Ureidopropionic acid	NAME
C02642	111	PUBCHEM_CID
C02642	18261	CHEBI
C02642	5097	METLIN
C02642	C(CNC(=O)N)C(=O)O	SMILES
C00272	HMDB0000027	HMDB
C00272	Tetrahydrobiopterin	NAME
C00272	1125	PUBCHEM_CID
C00272	15372	CHEBI
C00272	5098	METLIN
C00272	CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O	SMILES
C00120	HMDB0000030	HMDB
C00120	Biotin	NAME
C00120	171548	PUBCHEM_CID
C00120	15956	CHEBI
C00120	243	METLIN
C00120	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2	SMILES
C00523	HMDB0000031	HMDB
C00523	Androsterone	NAME
C00523	12306765	PUBCHEM_CID
C00523	16032	CHEBI
C00523	2797	METLIN
C00523	C[C@]12CCC(C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O	SMILES
C01164	HMDB0000032	HMDB
C01164	7-Dehydrocholesterol	NAME
C01164	439423	PUBCHEM_CID
C01164	17759	CHEBI
C01164	5101	METLIN
C01164	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C	SMILES
C00386	HMDB0000033	HMDB
C00386	Carnosine	NAME
C00386	439224	PUBCHEM_CID
C00386	15727	CHEBI
C00386	38	METLIN
C00386	C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN	SMILES
C00147	HMDB0000034	HMDB
C00147	Adenine	NAME
C00147	190	PUBCHEM_CID
C00147	16708	CHEBI
C00147	85	METLIN
C00147	C1=NC2=C(N1)C(=NC=N2)N	SMILES
C05122	HMDB0000036	HMDB
C05122	Taurocholic acid	NAME
C05122	440567	PUBCHEM_CID
C05122	28865	CHEBI
C05122	5104	METLIN
C05122	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C	SMILES
C01780	HMDB0000037	HMDB
C01780	Aldosterone	NAME
C01780	24758425	PUBCHEM_CID
C01780	27584	CHEBI
C01780	418	METLIN
C01780	C[C@]12CCC(=O)C=C1CCC3C2[C@H](C[C@]4(C3CC[C@@H]4C(=O)CO)C=O)O	SMILES
C02953	HMDB0000038	HMDB
C02953	Dihydrobiopterin	NAME
C02953	252	PUBCHEM_CID
C02953	64277	CHEBI
C02953	5106	METLIN
C02953	CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O	SMILES
C00246	HMDB0000039	HMDB
C00246	Butyric acid	NAME
C00246	264	PUBCHEM_CID
C00246	30772	CHEBI
C00246	107	METLIN
C00246	CCCC(=O)O	SMILES
C00033	HMDB0000042	HMDB
C00033	Acetic acid	NAME
C00033	176	PUBCHEM_CID
C00033	15366	CHEBI
C00033	3206	METLIN
C00033	CC(=O)O	SMILES
C00719	HMDB0000043	HMDB
C00719	Betaine	NAME
C00719	247	PUBCHEM_CID
C00719	17750	CHEBI
C00719	287	METLIN
C00719	C[N+](C)(C)CC(=O)[O-]	SMILES
C00072	HMDB0000044	HMDB
C00072	Ascorbic acid	NAME
C00072	54670067	PUBCHEM_CID
C00072	17208	CHEBI
C00072	3753	METLIN
C00072	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O	SMILES
C00020	HMDB0000045	HMDB
C00020	Adenosine monophosphate	NAME
C00020	6083	PUBCHEM_CID
C00020	16027	CHEBI
C00020	5111	METLIN
C00020	C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O	SMILES
C05402	HMDB0000048	HMDB
C05402	Melibiose	NAME
C05402	440658	PUBCHEM_CID
C05402	28053	CHEBI
C05402	3478	METLIN
C05402	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O	SMILES
C00212	HMDB0000050	HMDB
C00212	Adenosine	NAME
C00212	60961	PUBCHEM_CID
C00212	16335	CHEBI
C00212	86	METLIN
C00212	C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	SMILES
C00014	HMDB0000051	HMDB
C00014	Ammonia	NAME
C00014	222	PUBCHEM_CID
C00014	16134	CHEBI
C00014	3189	METLIN
C00014	N	SMILES
C03406	HMDB0000052	HMDB
C03406	Argininosuccinic acid	NAME
C03406	16950	PUBCHEM_CID
C03406	15682	CHEBI
C03406	5115	METLIN
C03406	C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O	SMILES
C00280	HMDB0000053	HMDB
C00280	Androstenedione	NAME
C00280	6128	PUBCHEM_CID
C00280	16422	CHEBI
C00280	2795	METLIN
C00280	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C	SMILES
C00486	HMDB0000054	HMDB
C00486	Bilirubin	NAME
C00486	5280352	PUBCHEM_CID
C00486	16990	CHEBI
C00486	81	METLIN
C00486	CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C	SMILES
C06422	HMDB0000055	HMDB
C06422	Cellobiose	NAME
C06422	10712	PUBCHEM_CID
C06422	36217	CHEBI
C06422	3480	METLIN
C06422	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O	SMILES
C00099	HMDB0000056	HMDB
C00099	Beta-Alanine	NAME
C00099	239	PUBCHEM_CID
C00099	16958	CHEBI
C00099	5119	METLIN
C00099	C(CN)C(=O)O	SMILES
C00575	HMDB0000058	HMDB
C00575	Cyclic AMP	NAME
C00575	6076	PUBCHEM_CID
C00575	17489	CHEBI
C00575	5120	METLIN
C00575	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O	SMILES
C00164	HMDB0000060	HMDB
C00164	Acetoacetic acid	NAME
C00164	96	PUBCHEM_CID
C00164	15344	CHEBI
C00164	276	METLIN
C00164	CC(=O)CC(=O)O	SMILES
C00054	HMDB0000061	HMDB
C00054	Adenosine 3',5'-diphosphate	NAME
C00054	159296	PUBCHEM_CID
C00054	17985	CHEBI
C00054	C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O	SMILES
C00318	HMDB0000062	HMDB
C00318	L-Carnitine	NAME
C00318	2724480	PUBCHEM_CID
C00318	11060	CHEBI
C00318	52	METLIN
C00318	C[N+](C)(C)C[C@H](CC(=O)[O-])O	SMILES
C00735	HMDB0000063	HMDB
C00735	Cortisol	NAME
C00735	657311	PUBCHEM_CID
C00735	5124	METLIN
C00735	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O	SMILES
C00300	HMDB0000064	HMDB
C00300	Creatine	NAME
C00300	586	PUBCHEM_CID
C00300	16919	CHEBI
C00300	7	METLIN
C00300	CN(CC(=O)O)C(=N)N	SMILES
C00187	HMDB0000067	HMDB
C00187	Cholesterol	NAME
C00187	11025495	PUBCHEM_CID
C00187	1307929	CHEBI
C00187	163	METLIN
C00187	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C	SMILES
C00788	HMDB0000068	HMDB
C00788	Epinephrine	NAME
C00788	5816	PUBCHEM_CID
C00788	28918	CHEBI
C00788	5127	METLIN
C00788	CNC[C@@H](C1=CC(=C(C=C1)O)O)O	SMILES
C00408	HMDB0000070	HMDB
C00408	Pipecolic acid	NAME
C00408	849	PUBCHEM_CID
C00408	17964	CHEBI
C00408	50	METLIN
C00408	C1CCNC(C1)C(=O)O	SMILES
C05512	HMDB0000071	HMDB
C05512	Deoxyinosine	NAME
C05512	65058	PUBCHEM_CID
C05512	28997	CHEBI
C05512	3383	METLIN
C05512	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O	SMILES
C00417	HMDB0000072	HMDB
C00417	cis-Aconitic acid	NAME
C00417	643757	PUBCHEM_CID
C00417	32805	CHEBI
C00417	5130	METLIN
C00417	C(/C(=C/C(=O)O)/C(=O)O)C(=O)O	SMILES
C03758	HMDB0000073	HMDB
C03758	Dopamine	NAME
C03758	681	PUBCHEM_CID
C03758	18243	CHEBI
C03758	64	METLIN
C03758	C1=CC(=C(C=C1CCN)O)O	SMILES
C00429	HMDB0000076	HMDB
C00429	Dihydrouracil	NAME
C00429	649	PUBCHEM_CID
C00429	15901	CHEBI
C00429	285	METLIN
C00429	C1CNC(=O)NC1=O	SMILES
C01227	HMDB0000077	HMDB
C01227	Dehydroepiandrosterone	NAME
C01227	9860744	PUBCHEM_CID
C01227	220467	CHEBI
C01227	5133	METLIN
C01227	C[C@]12CCC3C(C1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C	SMILES
C01419	HMDB0000078	HMDB
C01419	Cysteinylglycine	NAME
C01419	439498	PUBCHEM_CID
C01419	4047	CHEBI
C01419	5134	METLIN
C01419	C([C@@H](C(=O)NCC(=O)O)N)S	SMILES
C00906	HMDB0000079	HMDB
C00906	Dihydrothymine	NAME
C00906	93556	PUBCHEM_CID
C00906	27468	CHEBI
C00906	5135	METLIN
C00906	CC1CNC(=O)NC1=O	SMILES
C00063	HMDB0000082	HMDB
C00063	Cytidine triphosphate	NAME
C00063	6176	PUBCHEM_CID
C00063	17677	CHEBI
C00063	5136	METLIN
C00063	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	SMILES
C00330	HMDB0000085	HMDB
C00330	Deoxyguanosine	NAME
C00330	187790	PUBCHEM_CID
C00330	17172	CHEBI
C00330	3395	METLIN
C00330	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O	SMILES
C00670	HMDB0000086	HMDB
C00670	Glycerophosphocholine	NAME
C00670	71920	PUBCHEM_CID
C00670	16870	CHEBI
C00670	370	METLIN
C00670	C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O	SMILES
C00543	HMDB0000087	HMDB
C00543	Dimethylamine	NAME
C00543	674	PUBCHEM_CID
C00543	17170	CHEBI
C00543	3758	METLIN
C00543	CNC	SMILES
C00475	HMDB0000089	HMDB
C00475	Cytidine	NAME
C00475	6175	PUBCHEM_CID
C00475	17562	CHEBI
C00475	3376	METLIN
C00475	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O	SMILES
C01026	HMDB0000092	HMDB
C01026	Dimethylglycine	NAME
C01026	673	PUBCHEM_CID
C01026	17724	CHEBI
C01026	277	METLIN
C01026	CN(C)CC(=O)O	SMILES
C00158	HMDB0000094	HMDB
C00158	Citric acid	NAME
C00158	311	PUBCHEM_CID
C00158	30769	CHEBI
C00158	124	METLIN
C00158	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	SMILES
C00055	HMDB0000095	HMDB
C00055	Cytidine monophosphate	NAME
C00055	6131	PUBCHEM_CID
C00055	17361	CHEBI
C00055	5143	METLIN
C00055	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O	SMILES
C00114	HMDB0000097	HMDB
C00114	Choline	NAME
C00114	305	PUBCHEM_CID
C00114	15354	CHEBI
C00114	56	METLIN
C00114	C[N+](C)(C)CCO	SMILES
C00181	HMDB0000098	HMDB
C00181	D-Xylose	NAME
C00181	135191	PUBCHEM_CID
C00181	53455	CHEBI
C00181	314	METLIN
C00181	C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O	SMILES
C02291	HMDB0000099	HMDB
C02291	L-Cystathionine	NAME
C02291	439258	PUBCHEM_CID
C02291	17482	CHEBI
C02291	39	METLIN
C02291	C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N	SMILES
C00559	HMDB0000101	HMDB
C00559	Deoxyadenosine	NAME
C00559	13730	PUBCHEM_CID
C00559	17256	CHEBI
C00559	3382	METLIN
C00559	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O	SMILES
C01697	HMDB0000107	HMDB
C01697	Galactitol	NAME
C01697	11850	PUBCHEM_CID
C01697	16813	CHEBI
C01697	5148	METLIN
C01697	C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O	SMILES
C00469	HMDB0000108	HMDB
C00469	Ethanol	NAME
C00469	702	PUBCHEM_CID
C00469	16236	CHEBI
C00469	3203	METLIN
C00469	CCO	SMILES
C00334	HMDB0000112	HMDB
C00334	Gamma-Aminobutyric acid	NAME
C00334	119	PUBCHEM_CID
C00334	16865	CHEBI
C00334	C(CC(=O)O)CN	SMILES
C01233	HMDB0000114	HMDB
C01233	Glycerylphosphorylethanolamine	NAME
