Input ID	IDsource	Output ID	source of the output ID
C00001	KEGG	7732-18-5	CAS registry number
C00002	KEGG	56-65-5	CAS registry number
C00003	KEGG	53-84-9	CAS registry number
C00004	KEGG	58-68-4	CAS registry number
C00005	KEGG	2646-71-1	CAS registry number
C00006	KEGG	53-59-8	CAS registry number
C00007	KEGG	7782-44-7	CAS registry number
C00008	KEGG	58-64-0	CAS registry number
C00009	KEGG	7664-38-2	CAS registry number
C00010	KEGG	85-61-0	CAS registry number
C00011	KEGG	124-38-9	CAS registry number
C00013	KEGG	2466-09-3	CAS registry number
C00014	KEGG	7664-41-7	CAS registry number
C00015	KEGG	58-98-0	CAS registry number
C00016	KEGG	146-14-5	CAS registry number
C00018	KEGG	54-47-7	CAS registry number
C00019	KEGG	29908-03-0	CAS registry number
C00020	KEGG	61-19-8	CAS registry number
C00021	KEGG	979-92-0	CAS registry number
C00022	KEGG	127-17-3	CAS registry number
C00023	KEGG	7439-89-6	CAS registry number
C00024	KEGG	72-89-9	CAS registry number
C00025	KEGG	56-86-0	CAS registry number
C00026	KEGG	328-50-7	CAS registry number
C00027	KEGG	7722-84-1	CAS registry number
C00029	KEGG	133-89-1	CAS registry number
C00031	KEGG	50-99-7	CAS registry number
C00032	KEGG	14875-96-8	CAS registry number
C00033	KEGG	64-19-7	CAS registry number
C00034	KEGG	7439-96-5	CAS registry number
C00035	KEGG	146-91-8	CAS registry number
C00036	KEGG	328-42-7	CAS registry number
C00037	KEGG	56-40-6	CAS registry number
C00038	KEGG	7440-66-6	CAS registry number
C00039	KEGG	9007-49-2	CAS registry number
C00040	KEGG	9029-97-4	CAS registry number
C00041	KEGG	56-41-7	CAS registry number
C00042	KEGG	110-15-6	CAS registry number
C00044	KEGG	86-01-1	CAS registry number
C00047	KEGG	56-87-1	CAS registry number
C00048	KEGG	298-12-4	CAS registry number
C00049	KEGG	56-84-8	CAS registry number
C00051	KEGG	70-18-8	CAS registry number
C00052	KEGG	2956-16-3	CAS registry number
C00053	KEGG	482-67-7	CAS registry number
C00054	KEGG	1053-73-2	CAS registry number
C00055	KEGG	63-37-6	CAS registry number
C00058	KEGG	64-18-6	CAS registry number
C00059	KEGG	7664-93-9	CAS registry number
C00061	KEGG	146-17-8	CAS registry number
C00062	KEGG	74-79-3	CAS registry number
C00063	KEGG	65-47-4	CAS registry number
C00064	KEGG	56-85-9	CAS registry number
C00065	KEGG	56-45-1	CAS registry number
C00067	KEGG	50-00-0	CAS registry number
C00070	KEGG	7440-50-8	CAS registry number
C00072	KEGG	50-81-7	CAS registry number
C00073	KEGG	63-68-3	CAS registry number
C00074	KEGG	138-08-9	CAS registry number
C00075	KEGG	63-39-8	CAS registry number
C00076	KEGG	7440-70-2	CAS registry number
C00077	KEGG	70-26-8	CAS registry number
C00078	KEGG	73-22-3	CAS registry number
C00079	KEGG	63-91-2	CAS registry number
C00081	KEGG	132-06-9	CAS registry number
