PATHWAY	NAME
PWY-4983	citrulline-nitric oxide cycle
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
PWY-5766	glutamate degradation X
DETOX1-PWY	superoxide radicals degradation
PWY66-301	catecholamine biosynthesis
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PWY-0	putrescine degradation III
PWY-5686	uridine-5'-phosphate biosynthesis
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-5657	GDP-mannose biosynthesis I
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-5329	L-cysteine degradation III
HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
NAD-BIOSYNTHESIS-II	NAD salvage pathway II
LIPAS-PWY	triacylglycerol degradation
PWY-4921	protein citrullination
PWY-5941	glycogen degradation II
PWY-6362	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-5326	sulfite oxidation IV
PWY-6567	chondroitin sulfate biosynthesis (late stages)
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-6292	cysteine biosynthesis III (mammalia)
PWY-5142	acyl-ACP thioesterase pathway
PWY-6132	lanosterol biosynthesis
PWY-6137	copper transport II
P1-PWY	purine and pyrimidine metabolism
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
PWY-46	putrescine biosynthesis III
PWY-901	methylglyoxal degradation II
P341-PWY	glycolysis V (Pyrococcus)
PWY-6317	galactose degradation I (Leloir pathway)
PWY-5148	acyl-CoA hydrolysis
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY3DJ-5	biosynthesis of serotonin and melatonin
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
PWY-3781	aerobic respiration -- electron donor II
PWY-5884	wax esters biosynthesis I
GLUTOXA-PWY	glutamate degradation VII
