PATHWAY	NAME	NGENES	NCOMPOUNDS	TYPE
map00010	Glycolysis / Gluconeogenesis	66	31	KEGGPATHWAY
map00020	Citrate cycle (TCA cycle)	32	20	KEGGPATHWAY
map00030	Pentose phosphate pathway	32	35	KEGGPATHWAY
map00040	Pentose and glucuronate interconversions	34	55	KEGGPATHWAY
map00051	Fructose and mannose metabolism	35	54	KEGGPATHWAY
map00052	Galactose metabolism	32	46	KEGGPATHWAY
map00053	Ascorbate and aldarate metabolism	27	49	KEGGPATHWAY
map00061	Fatty acid biosynthesis	19	58	KEGGPATHWAY
map00062	Fatty acid elongation	29	40	KEGGPATHWAY
map00071	Fatty acid degradation	50	50	KEGGPATHWAY
map00072	Synthesis and degradation of ketone bodies	11	6	KEGGPATHWAY
map00073	Cutin, suberine and wax biosynthesis	0	27	KEGGPATHWAY
map00100	Steroid biosynthesis	20	58	KEGGPATHWAY
map00120	Primary bile acid biosynthesis	16	47	KEGGPATHWAY
map00121	Secondary bile acid biosynthesis	0	36	KEGGPATHWAY
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	11	92	KEGGPATHWAY
map00140	Steroid hormone biosynthesis	89	99	KEGGPATHWAY
map00190	Oxidative phosphorylation	133	16	KEGGPATHWAY
map00195	Photosynthesis	0	11	KEGGPATHWAY
map00220	Arginine biosynthesis	19	23	KEGGPATHWAY
map00230	Purine metabolism	136	95	KEGGPATHWAY
map00232	Caffeine metabolism	6	22	KEGGPATHWAY
map00240	Pyrimidine metabolism	58	65	KEGGPATHWAY
map00250	Alanine, aspartate and glutamate metabolism	38	28	KEGGPATHWAY
map00253	Tetracycline biosynthesis	0	21	KEGGPATHWAY
map00254	Aflatoxin biosynthesis	0	27	KEGGPATHWAY
map00260	Glycine, serine and threonine metabolism	40	50	KEGGPATHWAY
map00261	Monobactam biosynthesis	0	39	KEGGPATHWAY
map00270	Cysteine and methionine metabolism	52	63	KEGGPATHWAY
map00280	Valine, leucine and isoleucine degradation	56	42	KEGGPATHWAY
map00281	Geraniol degradation	0	21	KEGGPATHWAY
map00290	Valine, leucine and isoleucine biosynthesis	4	23	KEGGPATHWAY
map00300	Lysine biosynthesis	0	35	KEGGPATHWAY
map00310	Lysine degradation	61	54	KEGGPATHWAY
map00311	Penicillin and cephalosporin biosynthesis	0	18	KEGGPATHWAY
map00330	Arginine and proline metabolism	50	78	KEGGPATHWAY
map00331	Clavulanic acid biosynthesis	0	10	KEGGPATHWAY
map00332	Carbapenem biosynthesis	0	32	KEGGPATHWAY
map00333	Prodigiosin biosynthesis	0	18	KEGGPATHWAY
map00340	Histidine metabolism	24	47	KEGGPATHWAY
map00350	Tyrosine metabolism	40	78	KEGGPATHWAY
map00360	Phenylalanine metabolism	23	60	KEGGPATHWAY
map00361	Chlorocyclohexane and chlorobenzene degradation	0	83	KEGGPATHWAY
map00362	Benzoate degradation	0	72	KEGGPATHWAY
map00363	Bisphenol degradation	0	25	KEGGPATHWAY
map00364	Fluorobenzoate degradation	0	32	KEGGPATHWAY
map00365	Furfural degradation	0	10	KEGGPATHWAY
map00380	Tryptophan metabolism	48	82	KEGGPATHWAY
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	8	35	KEGGPATHWAY
