PATHWAY	NAME
R-MMU-73843	5-Phosphoribose 1-diphosphate biosynthesis
R-MMU-1971475	A tetrasaccharide linker sequence is required for GAG synthesis
R-MMU-1369062	ABC transporters in lipid homeostasis
R-MMU-382556	ABC-family proteins mediated transport
R-MMU-9033807	ABO blood group biosynthesis
R-MMU-418592	ADP signalling through P2Y purinoceptor 1
R-MMU-392170	ADP signalling through P2Y purinoceptor 12
R-MMU-198323	AKT phosphorylates targets in the cytosol
R-MMU-198693	AKT phosphorylates targets in the nucleus
R-MMU-211163	AKT-mediated inactivation of FOXO1A
R-MMU-163680	AMPK inhibits chREBP transcriptional activation activity
R-MMU-179409	APC-Cdc20 mediated degradation of Nek2A
R-MMU-174143	APC/C-mediated degradation of cell cycle proteins
R-MMU-174048	APC/C:Cdc20 mediated degradation of Cyclin B
R-MMU-174154	APC/C:Cdc20 mediated degradation of Securin
R-MMU-176409	APC/C:Cdc20 mediated degradation of mitotic proteins
R-MMU-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
R-MMU-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
R-MMU-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
R-MMU-5624958	ARL13B-mediated ciliary trafficking of INPP5E
R-MMU-170984	ARMS-mediated activation
R-MMU-381033	ATF6 (ATF6-alpha) activates chaperones
R-MMU-1296025	ATP sensitive Potassium channels
R-MMU-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA
R-MMU-8854518	AURKA Activation by TPX2
R-MMU-2161541	Abacavir metabolism
R-MMU-2161517	Abacavir transmembrane transport
R-MMU-2161522	Abacavir transport and metabolism
R-MMU-73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
R-MMU-156582	Acetylation
R-MMU-264642	Acetylcholine Neurotransmitter Release Cycle
R-MMU-181431	Acetylcholine binding and downstream events
R-MMU-399997	Acetylcholine regulates insulin secretion
R-MMU-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding
R-MMU-2122948	Activated NOTCH1 Transmits Signal to the Nucleus
R-MMU-9028731	Activated NTRK2 signals through FRS2 and FRS3
R-MMU-9032500	Activated NTRK2 signals through FYN
R-MMU-9026527	Activated NTRK2 signals through PLCG1
R-MMU-9603381	Activated NTRK3 signals through PI3K
R-MMU-9034793	Activated NTRK3 signals through PLCG1
R-MMU-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R-MMU-111452	Activation and oligomerization of BAK protein
R-MMU-165158	Activation of AKT2
R-MMU-399710	Activation of AMPA receptors
R-MMU-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
R-MMU-176187	Activation of ATR in response to replication stress
R-MMU-111447	Activation of BAD and translocation to mitochondria 
R-MMU-114452	Activation of BH3-only proteins
R-MMU-111446	Activation of BIM and translocation to mitochondria 
R-MMU-139910	Activation of BMF and translocation to mitochondria
R-MMU-174577	Activation of C3 and C5
R-MMU-451308	Activation of Ca-permeable Kainate Receptor
R-MMU-1296041	Activation of G protein gated Potassium channels
R-MMU-991365	Activation of GABAB receptors
R-MMU-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
R-MMU-1592389	Activation of Matrix Metalloproteinases
R-MMU-1169091	Activation of NF-kappaB in B cells
R-MMU-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7
R-MMU-442755	Activation of NMDA receptors and postsynaptic events
R-MMU-111448	Activation of NOXA and translocation to mitochondria
R-MMU-451307	Activation of Na-permeable kainate receptors
R-MMU-9619229	Activation of RAC1 downstream of NMDARs
R-MMU-1169092	Activation of RAS in B cells
R-MMU-5635838	Activation of SMO
R-MMU-187015	Activation of TRKA receptors
R-MMU-451326	Activation of kainate receptors upon glutamate binding
R-MMU-450341	Activation of the AP-1 family of transcription factors
R-MMU-8866907	Activation of the TFAP2 (AP-2) family of transcription factors
R-MMU-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S
R-MMU-2485179	Activation of the phototransduction cascade
R-MMU-68962	Activation of the pre-replicative complex
R-MMU-75108	Activation, myristolyation of BID and translocation to mitochondria
R-MMU-114294	Activation, translocation and oligomerization of BAX
R-MMU-1482798	Acyl chain remodeling of CL
R-MMU-1482883	Acyl chain remodeling of DAG and TAG
R-MMU-1482788	Acyl chain remodelling of PC
R-MMU-1482839	Acyl chain remodelling of PE
R-MMU-1482925	Acyl chain remodelling of PG
R-MMU-1482922	Acyl chain remodelling of PI
R-MMU-1482801	Acyl chain remodelling of PS
R-MMU-1280218	Adaptive Immune System
R-MMU-417973	Adenosine P1 receptors
R-MMU-170660	Adenylate cyclase activating pathway
