"ENTITY","PATHWAY"
"100009614","R-MMU-1266738"
"100009614","R-MMU-6805567"
"100017","R-MMU-174824"
"100017","R-MMU-199991"
"100017","R-MMU-382551"
"100017","R-MMU-5653656"
"100017","R-MMU-8856825"
"100017","R-MMU-8856828"
"100017","R-MMU-8964026"
"100017","R-MMU-8964038"
"100017","R-MMU-8964043"
"100034361","R-MMU-1474244"
"100034361","R-MMU-1566948"
"100034361","R-MMU-2129379"
"100037258","R-MMU-168249"
"100037258","R-MMU-168256"
"100037258","R-MMU-381426"
"100037258","R-MMU-392499"
"100037258","R-MMU-597592"
"100037258","R-MMU-6798695"
"100037258","R-MMU-8957275"
"100037283","R-MMU-168249"
"100037283","R-MMU-168256"
"100037283","R-MMU-6798695"
"100038882","R-MMU-110313"
"100038882","R-MMU-1169408"
"100038882","R-MMU-1169410"
"100038882","R-MMU-1280215"
"100038882","R-MMU-168256"
"100038882","R-MMU-5656169"
"100038882","R-MMU-73893"
"100038882","R-MMU-73894"
"100038882","R-MMU-913531"
"100038909","R-MMU-168249"
"100038909","R-MMU-168256"
"100038909","R-MMU-6798695"
"100038927","R-MMU-1461973"
"100038927","R-MMU-1462054"
"100038927","R-MMU-168249"
"100038927","R-MMU-168256"
"100038927","R-MMU-6798695"
"100038927","R-MMU-6803157"
"100039053","R-MMU-162582"
"100039053","R-MMU-372790"
"100039053","R-MMU-373076"
"100039053","R-MMU-375276"
"100039053","R-MMU-380108"
"100039053","R-MMU-388396"
"100039053","R-MMU-418594"
"100039053","R-MMU-500792"
"100039319","R-MMU-110330"
"100039319","R-MMU-110331"
"100039319","R-MMU-157579"
"100039319","R-MMU-162582"
"100039319","R-MMU-1640170"
"100039319","R-MMU-171306"
"100039319","R-MMU-194315"
"100039319","R-MMU-195258"
"100039319","R-MMU-195721"
"100039319","R-MMU-201681"
"100039319","R-MMU-201722"
"100039319","R-MMU-211000"
"100039319","R-MMU-212165"
"100039319","R-MMU-212300"
"100039319","R-MMU-212436"
"100039319","R-MMU-2262752"
"100039319","R-MMU-2299718"
"100039319","R-MMU-2559580"
"100039319","R-MMU-2559582"
"100039319","R-MMU-2559583"
"100039319","R-MMU-2559586"
"100039319","R-MMU-427359"
"100039319","R-MMU-427413"
"100039319","R-MMU-5250913"
"100039319","R-MMU-5250924"
"100039319","R-MMU-5250941"
"100039319","R-MMU-5578749"
"100039319","R-MMU-5625740"
"100039319","R-MMU-5625886"
"100039319","R-MMU-606279"
"100039319","R-MMU-68875"
"100039319","R-MMU-68886"
"100039319","R-MMU-69278"
"100039319","R-MMU-73728"
"100039319","R-MMU-73772"
"100039319","R-MMU-73854"
"100039319","R-MMU-73857"
"100039319","R-MMU-73864"
"100039319","R-MMU-73884"
"100039319","R-MMU-73886"
"100039319","R-MMU-73894"
"100039319","R-MMU-73927"
"100039319","R-MMU-73929"
"100039319","R-MMU-74160"
"100039319","R-MMU-774815"
"100039319","R-MMU-8878171"
"100039319","R-MMU-8936459"
"100039319","R-MMU-8939211"
"100039319","R-MMU-8953897"
"100039319","R-MMU-9006931"
"100039319","R-MMU-9018519"
"100039707","R-MMU-1430728"
"100039707","R-MMU-196757"
"100039707","R-MMU-196849"
"100039707","R-MMU-196854"
"100039863","R-MMU-162582"
"100039863","R-MMU-372790"
"100039863","R-MMU-373076"
"100039863","R-MMU-375276"
"100039863","R-MMU-380108"
"100039863","R-MMU-388396"
"100039863","R-MMU-418594"
"100039863","R-MMU-500792"
"100039939","R-MMU-162582"
"100039939","R-MMU-372790"
"100039939","R-MMU-373076"
"100039939","R-MMU-375276"
"100039939","R-MMU-380108"
"100039939","R-MMU-388396"
"100039939","R-MMU-418594"
"100039939","R-MMU-500792"
"100040048","R-MMU-162582"
"100040048","R-MMU-372790"
"100040048","R-MMU-373076"
"100040048","R-MMU-375276"
"100040048","R-MMU-380108"
"100040048","R-MMU-388396"
"100040048","R-MMU-418594"
"100040048","R-MMU-500792"
"100040201","R-MMU-1266738"
"100040201","R-MMU-6805567"
"100040214","R-MMU-1266738"
"100040214","R-MMU-6805567"
"100040233","R-MMU-1430728"
"100040233","R-MMU-1442490"
"100040233","R-MMU-1461973"
"100040233","R-MMU-1462054"
"100040233","R-MMU-1474228"
"100040233","R-MMU-1474244"
"100040233","R-MMU-1592389"
"100040233","R-MMU-168249"
"100040233","R-MMU-168256"
"100040233","R-MMU-196741"
"100040233","R-MMU-196849"
"100040233","R-MMU-196854"
"100040233","R-MMU-6798695"
"100040233","R-MMU-6803157"
"100040248","R-MMU-1266738"
"100040248","R-MMU-6805567"
"100040531","R-MMU-168249"
"100040531","R-MMU-168256"
"100040531","R-MMU-6798695"
"100040563","R-MMU-168249"
"100040563","R-MMU-168256"
"100040563","R-MMU-6798695"
"100040608","R-MMU-6783310"
"100040608","R-MMU-73894"
"100040843","R-MMU-1430728"
"100040843","R-MMU-211859"
"100040843","R-MMU-211897"
"100040843","R-MMU-211935"
"100040843","R-MMU-211945"
"100040843","R-MMU-211958"
"100040843","R-MMU-211979"
"100040843","R-MMU-2142691"
"100040843","R-MMU-2142753"
"100040843","R-MMU-556833"
"100040843","R-MMU-8978868"
"100041146","R-MMU-168249"
"100041146","R-MMU-168256"
"100041146","R-MMU-6798695"
"100041230","R-MMU-110330"
"100041230","R-MMU-110331"
"100041230","R-MMU-157579"
"100041230","R-MMU-162582"
"100041230","R-MMU-1640170"
"100041230","R-MMU-171306"
"100041230","R-MMU-194315"
"100041230","R-MMU-195258"
"100041230","R-MMU-195721"
"100041230","R-MMU-201681"
"100041230","R-MMU-201722"
"100041230","R-MMU-211000"
"100041230","R-MMU-212165"
"100041230","R-MMU-212300"
"100041230","R-MMU-212436"
"100041230","R-MMU-2262752"
"100041230","R-MMU-2299718"
"100041230","R-MMU-2559580"
"100041230","R-MMU-2559582"
"100041230","R-MMU-2559583"
"100041230","R-MMU-2559586"
"100041230","R-MMU-2990846"
"100041230","R-MMU-3108232"
"100041230","R-MMU-3214841"
"100041230","R-MMU-3214842"
"100041230","R-MMU-3214847"
"100041230","R-MMU-3214858"
"100041230","R-MMU-3247509"
"100041230","R-MMU-392499"
"100041230","R-MMU-427359"
"100041230","R-MMU-427413"
"100041230","R-MMU-4551638"
"100041230","R-MMU-4839726"
"100041230","R-MMU-5250913"
"100041230","R-MMU-5250924"
"100041230","R-MMU-5250941"
"100041230","R-MMU-5578749"
"100041230","R-MMU-5625740"
"100041230","R-MMU-5625886"
"100041230","R-MMU-5693532"
"100041230","R-MMU-5693538"
"100041230","R-MMU-5693565"
"100041230","R-MMU-5693567"
"100041230","R-MMU-5693571"
"100041230","R-MMU-5693606"
"100041230","R-MMU-5693607"
"100041230","R-MMU-597592"
"100041230","R-MMU-606279"
"100041230","R-MMU-68875"
"100041230","R-MMU-68886"
"100041230","R-MMU-69278"
"100041230","R-MMU-69473"
"100041230","R-MMU-69481"
"100041230","R-MMU-69620"
"100041230","R-MMU-73728"
"100041230","R-MMU-73772"
"100041230","R-MMU-73854"
"100041230","R-MMU-73857"
"100041230","R-MMU-73864"
"100041230","R-MMU-73884"
"100041230","R-MMU-73886"
"100041230","R-MMU-73894"
"100041230","R-MMU-73927"
"100041230","R-MMU-73929"
"100041230","R-MMU-74160"
"100041230","R-MMU-774815"
"100041230","R-MMU-8878171"
"100041230","R-MMU-8936459"
"100041230","R-MMU-8939211"
"100041230","R-MMU-8953897"
"100041230","R-MMU-9006931"
"100041230","R-MMU-9018519"
"100041261","R-MMU-1266738"
"100041261","R-MMU-6805567"
"100041375","R-MMU-1430728"
"100041375","R-MMU-211859"
"100041375","R-MMU-211897"
"100041375","R-MMU-211945"
"100041375","R-MMU-211958"
"100041375","R-MMU-211981"
"100041375","R-MMU-5423646"
"100041412","R-MMU-1266738"
"100041412","R-MMU-6805567"
"100041449","R-MMU-1430728"
"100041449","R-MMU-211859"
"100041449","R-MMU-211897"
"100041449","R-MMU-211945"
"100041449","R-MMU-211958"
"100041449","R-MMU-211981"
"100041449","R-MMU-5423646"
"100041488","R-MMU-1266738"
"100041488","R-MMU-6805567"
"100041504","R-MMU-162582"
"100041504","R-MMU-372790"
"100041504","R-MMU-373076"
"100041504","R-MMU-375276"
"100041504","R-MMU-380108"
"100041504","R-MMU-388396"
"100041504","R-MMU-418594"
"100041504","R-MMU-500792"
"100041581","R-MMU-212436"
"100041581","R-MMU-73857"
"100041581","R-MMU-74160"
"100041586","R-MMU-1852241"
"100041586","R-MMU-5617833"
"100041586","R-MMU-5620924"
"100041593","R-MMU-162582"
"100041593","R-MMU-372790"
"100041593","R-MMU-373076"
"100041593","R-MMU-375276"
"100041593","R-MMU-380108"
"100041593","R-MMU-388396"
"100041593","R-MMU-418594"
"100041593","R-MMU-500792"
"100041639","R-MMU-1852241"
"100041639","R-MMU-5617833"
"100041639","R-MMU-5620924"
"100041688","R-MMU-1461973"
"100041688","R-MMU-1462054"
"100041688","R-MMU-168249"
"100041688","R-MMU-168256"
"100041688","R-MMU-6798695"
"100041688","R-MMU-6803157"
"100041759","R-MMU-1461973"
"100041759","R-MMU-1462054"
"100041759","R-MMU-168249"
"100041759","R-MMU-168256"
"100041759","R-MMU-6798695"
"100041759","R-MMU-6803157"
"100041787","R-MMU-1461973"
"100041787","R-MMU-1462054"
"100041787","R-MMU-168249"
"100041787","R-MMU-168256"
"100041787","R-MMU-6798695"
"100041787","R-MMU-6803157"
"100041811","R-MMU-1461973"
"100041811","R-MMU-1462054"
"100041811","R-MMU-168249"
"100041811","R-MMU-168256"
"100041811","R-MMU-6798695"
"100041811","R-MMU-6803157"
"100041890","R-MMU-1461973"
"100041890","R-MMU-1462054"
"100041890","R-MMU-168249"
"100041890","R-MMU-168256"
"100041890","R-MMU-6798695"
"100041890","R-MMU-6803157"
"100041895","R-MMU-1461973"
"100041895","R-MMU-1462054"
"100041895","R-MMU-168249"
"100041895","R-MMU-168256"
"100041895","R-MMU-6798695"
"100041895","R-MMU-6803157"
"100041952","R-MMU-1461973"
"100041952","R-MMU-1462054"
"100041952","R-MMU-168249"
"100041952","R-MMU-168256"
"100041952","R-MMU-6798695"
"100041952","R-MMU-6803157"
"100042493","R-MMU-162582"
"100042493","R-MMU-372790"
"100042493","R-MMU-373076"
"100042493","R-MMU-375276"
"100042493","R-MMU-380108"
"100042493","R-MMU-388396"
"100042493","R-MMU-418594"
"100042493","R-MMU-500792"
