"ENTITY","PATHWAY"
"mmu:15277","M00001"
"mmu:212032","M00001"
"mmu:15275","M00001"
"mmu:216019","M00001"
"mmu:103988","M00001"
"mmu:72141","M00001"
"mmu:14751","M00001"
"mmu:18641","M00001"
"mmu:18642","M00001"
"mmu:56421","M00001"
"mmu:11674","M00001"
"mmu:230163","M00001"
"mmu:11676","M00001"
"mmu:353204","M00001"
"mmu:21991","M00001"
"mmu:14433","M00001"
"mmu:18655","M00001"
"mmu:18663","M00001"
"mmu:18648","M00001"
"mmu:56012","M00001"
"mmu:13806","M00001"
"mmu:13807","M00001"
"mmu:13808","M00001"
"mmu:433182","M00001"
"mmu:226265","M00001"
"mmu:18746","M00001"
"mmu:18770","M00001"
"mmu:21991","M00002"
"mmu:14433","M00002"
"mmu:18655","M00002"
"mmu:18663","M00002"
"mmu:18648","M00002"
"mmu:56012","M00002"
"mmu:13806","M00002"
"mmu:13807","M00002"
"mmu:13808","M00002"
"mmu:433182","M00002"
"mmu:226265","M00002"
"mmu:18746","M00002"
"mmu:18770","M00002"
"mmu:18534","M00003"
"mmu:74551","M00003"
"mmu:13806","M00003"
"mmu:13807","M00003"
"mmu:13808","M00003"
"mmu:433182","M00003"
"mmu:226265","M00003"
"mmu:18648","M00003"
"mmu:56012","M00003"
"mmu:18655","M00003"
"mmu:18663","M00003"
"mmu:14433","M00003"
"mmu:21991","M00003"
"mmu:11674","M00003"
"mmu:230163","M00003"
"mmu:11676","M00003"
"mmu:353204","M00003"
"mmu:14121","M00003"
"mmu:14120","M00003"
"mmu:100198","M00004"
"mmu:14380","M00004"
"mmu:14381","M00004"
"mmu:66171","M00004"
"mmu:110208","M00004"
"mmu:66646","M00004"
"mmu:19895","M00004"
"mmu:21881","M00004"
"mmu:83553","M00004"
"mmu:74419","M00004"
"mmu:21351","M00004"
"mmu:14751","M00004"
"mmu:19139","M00005"
"mmu:110639","M00005"
"mmu:328099","M00005"
"mmu:75456","M00005"
"mmu:100198","M00006"
"mmu:14380","M00006"
"mmu:14381","M00006"
"mmu:66171","M00006"
"mmu:110208","M00006"
"mmu:21881","M00007"
"mmu:83553","M00007"
"mmu:74419","M00007"
"mmu:21351","M00007"
"mmu:66646","M00007"
"mmu:19895","M00007"
"mmu:14380","M00008"
"mmu:14381","M00008"
"mmu:66171","M00008"
"mmu:12974","M00009"
"mmu:71832","M00009"
"mmu:11429","M00009"
"mmu:11428","M00009"
"mmu:15926","M00009"
"mmu:269951","M00009"
"mmu:15929","M00009"
"mmu:67834","M00009"
"mmu:170718","M00009"
"mmu:243996","M00009"
"mmu:18293","M00009"
"mmu:239017","M00009"
"mmu:78920","M00009"
"mmu:13382","M00009"
"mmu:56451","M00009"
"mmu:20917","M00009"
"mmu:20916","M00009"
"mmu:66945","M00009"
"mmu:67680","M00009"
"mmu:66052","M00009"
"mmu:66925","M00009"
"mmu:14194","M00009"
"mmu:17448","M00009"
"mmu:17449","M00009"
"mmu:12974","M00010"
"mmu:71832","M00010"
"mmu:11429","M00010"
"mmu:11428","M00010"
"mmu:15926","M00010"
"mmu:269951","M00010"
"mmu:15929","M00010"
"mmu:67834","M00010"
"mmu:170718","M00010"
"mmu:243996","M00010"
"mmu:18293","M00011"
"mmu:239017","M00011"
"mmu:78920","M00011"
"mmu:13382","M00011"
"mmu:56451","M00011"
"mmu:20917","M00011"
"mmu:20916","M00011"
"mmu:66945","M00011"
"mmu:67680","M00011"
"mmu:66052","M00011"
"mmu:66925","M00011"
"mmu:14194","M00011"
"mmu:17448","M00011"
"mmu:17449","M00011"
"mmu:12974","M00012"
"mmu:71832","M00012"
"mmu:11429","M00012"
"mmu:11428","M00012"
"mmu:17448","M00012"
"mmu:17449","M00012"
"mmu:11409","M00013"
"mmu:80911","M00013"
"mmu:11430","M00013"
"mmu:93747","M00013"
"mmu:74147","M00013"
"mmu:97212","M00013"
"mmu:227095","M00013"
