"ENTITY","PATHWAY"
"mmu:103988","map00010"
"mmu:106557","map00010"
"mmu:110695","map00010"
"mmu:11522","map00010"
"mmu:11529","map00010"
"mmu:11532","map00010"
"mmu:11669","map00010"
"mmu:11670","map00010"
"mmu:11671","map00010"
"mmu:11674","map00010"
"mmu:11676","map00010"
"mmu:12183","map00010"
"mmu:13382","map00010"
"mmu:13806","map00010"
"mmu:13807","map00010"
"mmu:13808","map00010"
"mmu:14120","map00010"
"mmu:14121","map00010"
"mmu:14377","map00010"
"mmu:14378","map00010"
"mmu:14433","map00010"
"mmu:14447","map00010"
"mmu:14751","map00010"
"mmu:15275","map00010"
"mmu:15277","map00010"
"mmu:16828","map00010"
"mmu:16832","map00010"
"mmu:16833","map00010"
"mmu:17330","map00010"
"mmu:18534","map00010"
"mmu:18597","map00010"
"mmu:18598","map00010"
"mmu:18641","map00010"
"mmu:18642","map00010"
"mmu:18648","map00010"
"mmu:18655","map00010"
"mmu:18663","map00010"
"mmu:18746","map00010"
"mmu:18770","map00010"
"mmu:212032","map00010"
"mmu:216019","map00010"
"mmu:21991","map00010"
"mmu:226265","map00010"
"mmu:230163","map00010"
"mmu:235339","map00010"
"mmu:26876","map00010"
"mmu:319625","map00010"
"mmu:353204","map00010"
"mmu:433182","map00010"
"mmu:56012","map00010"
"mmu:56421","map00010"
"mmu:56752","map00010"
"mmu:56847","map00010"
"mmu:58810","map00010"
"mmu:60525","map00010"
"mmu:621603","map00010"
"mmu:66681","map00010"
"mmu:67689","map00010"
"mmu:68263","map00010"
"mmu:68401","map00010"
"mmu:68738","map00010"
"mmu:72141","map00010"
"mmu:72157","map00010"
"mmu:72535","map00010"
"mmu:73458","map00010"
"mmu:74551","map00010"
"mmu:104112","map00020"
"mmu:11428","map00020"
"mmu:11429","map00020"
"mmu:12974","map00020"
"mmu:13382","map00020"
"mmu:14194","map00020"
"mmu:15926","map00020"
"mmu:15929","map00020"
"mmu:170718","map00020"
"mmu:17448","map00020"
"mmu:17449","map00020"
"mmu:18293","map00020"
"mmu:18534","map00020"
"mmu:18563","map00020"
"mmu:18597","map00020"
"mmu:18598","map00020"
"mmu:20916","map00020"
"mmu:20917","map00020"
"mmu:235339","map00020"
"mmu:239017","map00020"
"mmu:243996","map00020"
"mmu:269951","map00020"
"mmu:56451","map00020"
"mmu:66052","map00020"
"mmu:66925","map00020"
"mmu:66945","map00020"
"mmu:67680","map00020"
"mmu:67834","map00020"
"mmu:68263","map00020"
"mmu:71832","map00020"
"mmu:74551","map00020"
"mmu:78920","map00020"
"mmu:100198","map00030"
"mmu:110208","map00030"
"mmu:110639","map00030"
"mmu:11674","map00030"
"mmu:11676","map00030"
"mmu:14120","map00030"
"mmu:14121","map00030"
"mmu:14380","map00030"
"mmu:14381","map00030"
"mmu:14751","map00030"
"mmu:18641","map00030"
"mmu:18642","map00030"
"mmu:19139","map00030"
"mmu:19733","map00030"
"mmu:19895","map00030"
"mmu:21351","map00030"
"mmu:21881","map00030"
"mmu:230163","map00030"
"mmu:232449","map00030"
"mmu:235582","map00030"
"mmu:328099","map00030"
"mmu:353204","map00030"
"mmu:56421","map00030"
"mmu:66171","map00030"
"mmu:66646","map00030"
"mmu:66681","map00030"
"mmu:71336","map00030"
"mmu:72157","map00030"
"mmu:74419","map00030"
"mmu:75456","map00030"
"mmu:75731","map00030"
"mmu:83553","map00030"
"mmu:100559","map00040"
"mmu:100727","map00040"
"mmu:102448","map00040"
"mmu:110006","map00040"
"mmu:112417","map00040"
"mmu:11677","map00040"
"mmu:11997","map00040"
"mmu:14187","map00040"
"mmu:16591","map00040"
"mmu:20322","map00040"
"mmu:216558","map00040"
"mmu:22235","map00040"
"mmu:22236","map00040"
"mmu:22238","map00040"
"mmu:231396","map00040"
"mmu:243085","map00040"
"mmu:394430","map00040"
"mmu:394432","map00040"
"mmu:394433","map00040"
"mmu:394434","map00040"
"mmu:394435","map00040"
"mmu:394436","map00040"
"mmu:552899","map00040"
"mmu:58810","map00040"
"mmu:66646","map00040"
"mmu:67861","map00040"
"mmu:67880","map00040"
"mmu:68631","map00040"
"mmu:71755","map00040"
"mmu:71773","map00040"
"mmu:72094","map00040"
"mmu:75847","map00040"
"mmu:94215","map00040"
"mmu:94284","map00040"
"mmu:110119","map00051"
"mmu:11674","map00051"
"mmu:11676","map00051"
"mmu:11677","map00051"
"mmu:11997","map00051"
"mmu:14120","map00051"
"mmu:14121","map00051"
"mmu:14187","map00051"
"mmu:15275","map00051"
"mmu:15277","map00051"
"mmu:16548","map00051"
"mmu:170768","map00051"
"mmu:18639","map00051"
"mmu:18640","map00051"
"mmu:18641","map00051"
"mmu:18642","map00051"
"mmu:20322","map00051"
"mmu:212032","map00051"
"mmu:216019","map00051"
"mmu:218138","map00051"
"mmu:21991","map00051"
"mmu:22122","map00051"
"mmu:225913","map00051"
"mmu:230163","map00051"
"mmu:234730","map00051"
"mmu:270198","map00051"
"mmu:29858","map00051"
"mmu:319801","map00051"
"mmu:331026","map00051"
"mmu:353204","map00051"
"mmu:54128","map00051"
"mmu:56421","map00051"
"mmu:67861","map00051"
"mmu:69080","map00051"
"mmu:75540","map00051"
"mmu:103988","map00052"
"mmu:11605","map00052"
"mmu:11677","map00052"
"mmu:11997","map00052"
"mmu:12091","map00052"
"mmu:14187","map00052"
"mmu:14377","map00052"
"mmu:14378","map00052"
"mmu:14387","map00052"
"mmu:14430","map00052"
"mmu:14595","map00052"
"mmu:14635","map00052"
"mmu:15275","map00052"
"mmu:15277","map00052"
"mmu:16770","map00052"
"mmu:18641","map00052"
"mmu:18642","map00052"
"mmu:212032","map00052"
"mmu:216019","map00052"
"mmu:216558","map00052"
"mmu:226413","map00052"
"mmu:232714","map00052"
"mmu:319625","map00052"
"mmu:53418","map00052"
"mmu:56421","map00052"
"mmu:66681","map00052"
"mmu:67861","map00052"
"mmu:68401","map00052"
"mmu:69983","map00052"
"mmu:72157","map00052"
"mmu:74246","map00052"
"mmu:76051","map00052"
"mmu:100559","map00053"
"mmu:100727","map00053"
"mmu:110695","map00053"
"mmu:112417","map00053"
"mmu:11669","map00053"
"mmu:11671","map00053"
"mmu:19733","map00053"
