"ENTITY","PATHWAY"
"MGI:97362","PWY-4983"
"MGI:97360","PWY-4983"
"MGI:97361","PWY-4983"
"MGI:1917979","PWY-4983"
"MGI:1913644","PWY-4983"
"MGI:88090","PWY-4983"
"MGI:88084","PWY-4983"
"MGI:1196396","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:3643902","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:1914824","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:2384774","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:1914806","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:2385025","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:1098592","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:2444031","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:1330239","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:1913498","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"
"MGI:95753","PWY-5766"
"MGI:95754","PWY-5766"
"MGI:103181","DETOX1-PWY"
"MGI:98351","DETOX1-PWY"
"MGI:98352","DETOX1-PWY"
"MGI:1929811","DETOX1-PWY"
"MGI:88271","DETOX1-PWY"
"MGI:94876","PWY66-301"
"MGI:98735","PWY66-301"
"MGI:94864","PWY66-301"
"MGI:2388042","PWY66-301"
"MGI:1921582","PWY66-301"
"MGI:97724","PWY66-301"
"MGI:2386323","PWY-5652"
"MGI:1098267","PWY-5652"
"MGI:96916","PWY-0"
"MGI:96915","PWY-0"
"MGI:1861622","PWY-0"
"MGI:99600","PWY-0"
"MGI:1353452","PWY-0"
"MGI:108186","PWY-0"
"MGI:1347050","PWY-0"
"MGI:891996","PWY-5686"
"MGI:1916969","PWY-5686"
"MGI:1298388","PWY-5686"
"MGI:2183447","PWY-5067"
"MGI:1351614","PWY-5067"
"MGI:2385254","PWY-5067"
"MGI:101805","PWY-5067"
"MGI:1921435","PWY-5067"
"MGI:95797","PWY-5657"
"MGI:97075","PWY-5657"
"MGI:1353418","PWY-5657"
"MGI:1859214","PWY-5657"
"MGI:2660880","PWY-5657"
"MGI:1916330","PWY-5657"
"MGI:96418","PWY-6576"
"MGI:2179733","PWY-5329"
"MGI:88285","HOMOCYSDEGR-PWY"
"MGI:1339968","HOMOCYSDEGR-PWY"
"MGI:1915243","NAD-BIOSYNTHESIS-II"
"MGI:87882","NAD-BIOSYNTHESIS-II"
"MGI:1931010","NAD-BIOSYNTHESIS-II"
"MGI:1928480","NAD-BIOSYNTHESIS-II"
"MGI:87883","NAD-BIOSYNTHESIS-II"
"MGI:87881","NAD-BIOSYNTHESIS-II"
"MGI:2442444","NAD-BIOSYNTHESIS-II"
"MGI:2142121","NAD-BIOSYNTHESIS-II"
"MGI:2444155","NAD-BIOSYNTHESIS-II"
"MGI:1913704","NAD-BIOSYNTHESIS-II"
"MGI:1921330","NAD-BIOSYNTHESIS-II"
"MGI:1916814","NAD-BIOSYNTHESIS-II"
"MGI:88374","LIPAS-PWY"
"MGI:96216","LIPAS-PWY"
"MGI:2151796","LIPAS-PWY"
"MGI:1341803","LIPAS-PWY"
"MGI:1336202","LIPAS-PWY"
"MGI:97723","LIPAS-PWY"
"MGI:2679259","LIPAS-PWY"
"MGI:1914967","LIPAS-PWY"
"MGI:2147592","LIPAS-PWY"
"MGI:2442032","LIPAS-PWY"
"MGI:2677061","LIPAS-PWY"
"MGI:1914103","LIPAS-PWY"
"MGI:96790","LIPAS-PWY"
"MGI:1346042","LIPAS-PWY"
"MGI:1923442","LIPAS-PWY"
"MGI:2655198","PWY-4921"
"MGI:1338898","PWY-4921"
"MGI:1338891","PWY-4921"
"MGI:1338892","PWY-4921"
"MGI:1338893","PWY-4921"
"MGI:97828","PWY-5941"
"MGI:97830","PWY-5941"
"MGI:97829","PWY-5941"
"MGI:97564","PWY-5941"
"MGI:1918224","PWY-5941"
"MGI:97565","PWY-5941"
"MGI:97566","PWY-5941"
"MGI:1925668","PWY-5941"
"MGI:2446159","PWY-6362"
"MGI:1922928","PWY-6362"
"MGI:109235","PWY-6362"
"MGI:1333822","PWY-6362"
"MGI:2442554","PWY-6362"
"MGI:2158663","PWY-6362"
"MGI:2446117","PWY-5326"
"MGI:1858224","PWY-6567"
"MGI:1891767","PWY-6567"
"MGI:1929064","PWY-6567"
"MGI:1927166","PWY-6567"
"MGI:1924840","PWY-6567"
"MGI:106576","PWY-6567"
"MGI:2681120","PWY-6567"
"MGI:1926173","PWY-6567"
"MGI:1918615","PWY-5805"
"MGI:2443731","PWY-6292"
"MGI:88017","PWY-6292"
"MGI:1913667","PWY-6292"
"MGI:87968","PWY-6292"
"MGI:2385184","PWY-6292"
"MGI:1921590","PWY-6292"
"MGI:88285","PWY-6292"
"MGI:1339968","PWY-6292"
"MGI:95485","PWY-5142"
"MGI:1336155","PWY-6132"
"MGI:103297","PWY-6137"
"MGI:99400","PWY-6137"
"MGI:88061","P1-PWY"
"MGI:87977","P1-PWY"
"MGI:2677491","P1-PWY"
"MGI:87979","P1-PWY"
