"ENTITY","PATHWAY"
"10033","R-MMU-1430728"
"10033","R-MMU-196854"
"10033","R-MMU-6806664"
"10033","R-MMU-6806667"
"10036","R-MMU-1430728"
"10036","R-MMU-2142753"
"10036","R-MMU-556833"
"10036","R-MMU-8848584"
"10036","R-MMU-8978868"
"10036","R-MMU-9640463"
"10049","R-MMU-1430728"
"10049","R-MMU-15869"
"10049","R-MMU-74259"
"10049","R-MMU-8956319"
"10055","R-MMU-162582"
"10055","R-MMU-372790"
"10055","R-MMU-373076"
"10055","R-MMU-375280"
"10055","R-MMU-390696"
"10055","R-MMU-500792"
"10093","R-MMU-162582"
"10093","R-MMU-372790"
"10093","R-MMU-388396"
"10093","R-MMU-418594"
"10093","R-MMU-420499"
"10093","R-MMU-500792"
"101278","R-MMU-397014"
"101278","R-MMU-5576891"
"101278","R-MMU-5576892"
"101278","R-MMU-5576893"
"104011","R-MMU-382551"
"104011","R-MMU-425366"
"104011","R-MMU-425407"
"104011","R-MMU-549132"
"104011","R-MMU-561048"
"10545","R-MMU-140180"
"10545","R-MMU-1430728"
"10545","R-MMU-196807"
"10545","R-MMU-196849"
"10545","R-MMU-196854"
"10545","R-MMU-197264"
"10545","R-MMU-211859"
"10545","R-MMU-211945"
"10545","R-MMU-2142753"
"10545","R-MMU-2162123"
"10545","R-MMU-382551"
"10545","R-MMU-556833"
"10545","R-MMU-8978868"
"10545","R-MMU-917937"
"10545","R-MMU-917977"
"10723","R-MMU-1430728"
"10723","R-MMU-556833"
"10723","R-MMU-77286"
"10723","R-MMU-77288"
"10723","R-MMU-77289"
"10723","R-MMU-77346"
"10723","R-MMU-8978868"
"10983","R-MMU-1430728"
"10983","R-MMU-556833"
"10983","R-MMU-74182"
"10983","R-MMU-77111"
"11230","R-MMU-1430728"
"11230","R-MMU-1483191"
"11230","R-MMU-1483206"
"11230","R-MMU-1483257"
"11230","R-MMU-556833"
"11563","R-MMU-1430728"
"11563","R-MMU-71336"
"11563","R-MMU-71387"
"116962","R-MMU-2022377"
"116962","R-MMU-2980736"
"116962","R-MMU-392499"
"11805","R-MMU-1430728"
"11805","R-MMU-70895"
"11805","R-MMU-71291"
"12071","R-MMU-1430728"
"12071","R-MMU-196757"
"12071","R-MMU-196849"
"12071","R-MMU-196854"
"12071","R-MMU-389661"
"12071","R-MMU-6783984"
"12071","R-MMU-71291"
"12387","R-MMU-392499"
"12387","R-MMU-446193"
"12387","R-MMU-446203"
"12387","R-MMU-446219"
"12387","R-MMU-597592"
"12387","R-MMU-6787639"
"1294","R-MMU-1430728"
"1294","R-MMU-196071"
"1294","R-MMU-196108"
"1294","R-MMU-211859"
"1294","R-MMU-211897"
"1294","R-MMU-211945"
"1294","R-MMU-211976"
"1294","R-MMU-556833"
"1294","R-MMU-8957322"
"1301","R-MMU-1430728"
"1301","R-MMU-196071"
"1301","R-MMU-196108"
"1301","R-MMU-2990846"
"1301","R-MMU-3108232"
"1301","R-MMU-392499"
"1301","R-MMU-4090294"
"1301","R-MMU-556833"
"1301","R-MMU-597592"
"1301","R-MMU-8957322"
"13115","R-MMU-1430728"
"13115","R-MMU-5661270"
"13115","R-MMU-71387"
"131617","R-MMU-1430728"
"131617","R-MMU-556833"
"131617","R-MMU-9018678"
"131617","R-MMU-9018679"
"131617","R-MMU-9018896"
"132041","R-MMU-2022377"
"132041","R-MMU-2980736"
"132041","R-MMU-392499"
"132228","R-MMU-1430728"
"132228","R-MMU-556833"
"132228","R-MMU-9018677"
"132228","R-MMU-9018678"
"132228","R-MMU-9018682"
"132228","R-MMU-9026395"
"132228","R-MMU-9026762"
"132797","R-MMU-1430728"
"132797","R-MMU-556833"
"132797","R-MMU-9018676"
"132797","R-MMU-9018677"
"132797","R-MMU-9018678"
"132800","R-MMU-1430728"
"132800","R-MMU-556833"
"132800","R-MMU-9018676"
"132800","R-MMU-9018677"
"132800","R-MMU-9018678"
"132801","R-MMU-1430728"
"132801","R-MMU-556833"
"132801","R-MMU-9018678"
"132801","R-MMU-9018679"
"132801","R-MMU-9018896"
"132802","R-MMU-1430728"
"132802","R-MMU-556833"
"132802","R-MMU-9018678"
"132802","R-MMU-9018679"
"132802","R-MMU-9018896"
"132873","R-MMU-1430728"
"132873","R-MMU-2142688"
"132873","R-MMU-2142753"
"132873","R-MMU-556833"
"132873","R-MMU-8978868"
"132908","R-MMU-1430728"
"132908","R-MMU-556833"
"132908","R-MMU-9018678"
"132908","R-MMU-9018679"
"132908","R-MMU-9023661"
"133015","R-MMU-392499"
"133015","R-MMU-5173105"
"133015","R-MMU-597592"
"133202","R-MMU-1430728"
"133202","R-MMU-196807"
"133202","R-MMU-196849"
"133202","R-MMU-196854"
"133202","R-MMU-197264"
"133203","R-MMU-1430728"
"133203","R-MMU-196807"
"133203","R-MMU-196849"
"133203","R-MMU-196854"
"133203","R-MMU-197264"
"133667","R-MMU-1430728"
"133667","R-MMU-156580"
"133667","R-MMU-156588"
"133667","R-MMU-211859"
"133817","R-MMU-1430728"
"133817","R-MMU-211859"
"133817","R-MMU-211945"
"133907","R-MMU-1222556"
"133907","R-MMU-168249"
"133907","R-MMU-168256"
"133907","R-MMU-8941413"
"134117","R-MMU-1430728"
"134117","R-MMU-191273"
"134117","R-MMU-556833"
"134117","R-MMU-8957322"
"134407","R-MMU-1430728"
"134407","R-MMU-556833"
"134407","R-MMU-9018678"
"134407","R-MMU-9027604"
"135010","R-MMU-162582"
"135010","R-MMU-372790"
"135010","R-MMU-388396"
"135010","R-MMU-418555"
"135123","R-MMU-162582"
"135123","R-MMU-372790"
"135123","R-MMU-373076"
"135123","R-MMU-375280"
"135123","R-MMU-390696"
"135123","R-MMU-500792"
"135359","R-MMU-162582"
"135359","R-MMU-372790"
"135359","R-MMU-373076"
"135359","R-MMU-375280"
"135359","R-MMU-390696"
"135359","R-MMU-500792"
"135377","R-MMU-162582"
"135377","R-MMU-372790"
"135377","R-MMU-373076"
"135377","R-MMU-375280"
"135377","R-MMU-390696"
"135377","R-MMU-500792"
"135654","R-MMU-2022377"
"135654","R-MMU-2980736"
"135654","R-MMU-392499"
"135738","R-MMU-397014"
"135738","R-MMU-5576891"
"135738","R-MMU-5576892"
"135738","R-MMU-5576893"
"135756","R-MMU-2022377"
